CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.8,1025.0,9.3,955.0,225.0,894.0,98.0,1382.0,1063.0,12.1,70.4,1.0244
1.3,1155.0,7.2,863.0,69.0,718.0,60.0,1749.0,795.0,34.4,60.7,1.9543
0.9,836.0,3.8,702.0,121.0,878.0,76.0,1004.0,511.0,12.9,54.6,0.8573
2.2,1376.0,14.4,1134.0,228.0,687.0,109.0,1806.0,1183.0,16.9,57.1,1.1496
0.8,891.0,4.4,731.0,83.0,1078.0,91.0,1083.0,567.0,27.7,17.0,0.8637
2.7,1236.0,14.1,1120.0,315.0,480.0,130.0,1669.0,1091.0,19.1,55.8,1.3461
1.4,930.0,3.7,688.0,95.0,806.0,82.0,1264.0,889.0,16.5,58.3,1.144
1.6,1009.0,8.7,926.0,95.0,804.0,82.0,1423.0,603.0,21.0,44.2,1.0318
2.9,1406.0,20.6,1325.0,420.0,587.0,131.0,1903.0,1589.0,20.2,57.6,1.2358
2.3,1211.0,11.3,1022.0,322.0,630.0,152.0,1643.0,1282.0,11.3,72.4,1.2238
2.6,1195.0,11.0,1013.0,311.0,802.0,166.0,1285.0,1223.0,6.8,45.4,0.3531
0.6,819.0,1.4,537.0,127.0,1236.0,72.0,912.0,528.0,9.1,54.8,0.5772
0.5,901.0,3.3,670.0,151.0,1056.0,106.0,1034.0,635.0,10.9,69.2,0.7347
3.0,1154.0,12.8,1076.0,510.0,507.0,153.0,1257.0,1164.0,10.8,56.7,0.8538
5.9,1807.0,24.3,1408.0,701.0,511.0,243.0,1868.0,1970.0,12.9,60.3,0.6261
1.2,975.0,5.7,795.0,127.0,953.0,72.0,1296.0,832.0,32.7,23.5,1.405
3.4,1119.0,13.2,1089.0,224.0,734.0,133.0,1620.0,1009.0,21.8,38.7,0.901
1.6,1056.0,7.1,858.0,77.0,907.0,81.0,1678.0,1031.0,27.7,41.4,1.2343
1.9,1009.0,8.5,924.0,309.0,791.0,114.0,1116.0,1000.0,20.7,36.4,0.6359
2.2,1082.0,9.0,939.0,163.0,896.0,137.0,1178.0,613.0,32.2,12.3,0.6629
4.1,1327.0,14.5,1119.0,392.0,613.0,179.0,1544.0,1322.0,17.6,38.0,0.7805
1.3,1183.0,6.9,853.0,123.0,1097.0,129.0,1336.0,1022.0,12.7,58.0,0.5821
0.5,993.0,4.9,761.0,140.0,923.0,127.0,1312.0,808.0,18.9,32.1,0.695
2.1,1034.0,12.3,1056.0,135.0,742.0,72.0,1572.0,1001.0,35.0,20.7,1.3707
3.2,1572.0,20.7,1312.0,419.0,417.0,177.0,1897.0,1892.0,8.0,72.3,0.9511
2.5,1244.0,10.9,1010.0,294.0,871.0,123.0,1486.0,1309.0,10.0,42.8,0.5529
3.0,1399.0,20.3,1303.0,576.0,700.0,130.0,1829.0,1388.0,5.6,78.4,0.8167
3.4,1270.0,14.0,1112.0,407.0,742.0,181.0,1398.0,1516.0,6.2,63.6,0.4443
1.3,956.0,3.4,675.0,62.0,1117.0,42.0,1313.0,465.0,25.7,39.3,1.1998
2.6,1274.0,14.7,1136.0,346.0,700.0,148.0,1618.0,1465.0,22.5,34.7,0.9633
0.9,902.0,4.8,753.0,140.0,823.0,143.0,1084.0,637.0,15.9,17.4,0.3717
