CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
4.1,1229.0,16.1,1178.0,386.0,619.0,147.0,1851.0,1364.0,23.6,51.6,1.1239
5.4,1714.0,35.3,1662.0,524.0,505.0,146.0,2232.0,1868.0,32.5,25.3,1.2213
0.5,856.0,2.6,623.0,18.0,1352.0,51.0,1403.0,461.0,23.1,35.1,1.2106
2.7,1270.0,12.7,1070.0,455.0,738.0,142.0,1645.0,1225.0,11.8,78.6,1.2433
1.4,1274.0,7.9,894.0,77.0,791.0,91.0,1762.0,1208.0,20.0,52.3,1.2107
7.1,1461.0,29.8,1542.0,413.0,490.0,141.0,2088.0,1651.0,35.5,36.2,1.6681
3.0,1193.0,24.6,1422.0,422.0,469.0,100.0,1860.0,1196.0,28.4,35.9,1.2717
1.3,1023.0,16.0,1179.0,74.0,751.0,61.0,2062.0,987.0,38.0,28.9,1.6517
2.4,1022.0,8.4,917.0,183.0,867.0,122.0,1410.0,867.0,25.8,25.0,0.8902
3.3,1721.0,22.6,1366.0,280.0,596.0,153.0,1945.0,1590.0,25.1,30.9,0.9871
2.2,1089.0,4.9,753.0,482.0,803.0,156.0,999.0,963.0,1.6,79.9,0.4927
1.1,964.0,4.4,729.0,226.0,707.0,137.0,990.0,841.0,8.6,63.9,0.8016
1.1,897.0,8.0,895.0,50.0,986.0,72.0,1476.0,584.0,30.9,26.2,1.0506
1.3,857.0,3.5,682.0,190.0,1221.0,127.0,801.0,739.0,2.2,42.6,0.2592
3.7,1428.0,15.6,1173.0,744.0,455.0,282.0,1025.0,1780.0,6.4,42.3,0.3651
2.9,1292.0,9.7,965.0,190.0,665.0,118.0,1532.0,1270.0,12.9,73.5,1.1914
0.8,1019.0,4.0,701.0,71.0,1068.0,34.0,1435.0,640.0,26.3,37.2,1.187
0.9,821.0,1.6,549.0,35.0,1178.0,58.0,1053.0,423.0,16.9,34.6,0.7635
1.3,1067.0,3.3,672.0,374.0,701.0,125.0,787.0,1002.0,0.8,84.0,0.5247
1.3,1008.0,6.1,807.0,208.0,1094.0,145.0,1256.0,994.0,10.7,59.8,0.5616
1.5,1194.0,13.2,1089.0,300.0,571.0,155.0,1442.0,1224.0,15.7,71.8,1.2179
1.1,992.0,4.1,713.0,189.0,878.0,80.0,1031.0,803.0,7.1,67.6,0.8065
3.8,1398.0,17.6,1226.0,37.0,651.0,30.0,2463.0,1332.0,37.2,39.0,1.77
1.0,1001.0,7.2,857.0,146.0,1015.0,117.0,1334.0,1204.0,13.6,59.4,0.9599
1.7,1163.0,10.2,986.0,128.0,827.0,79.0,1497.0,900.0,16.1,51.8,0.7574
2.1,1337.0,20.2,1312.0,329.0,646.0,131.0,1807.0,1467.0,37.3,24.9,1.4664
1.7,1157.0,11.4,1018.0,228.0,641.0,93.0,1630.0,1028.0,28.9,29.9,1.2119
