CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2.0,1154.0,12.1,1053.0,288.0,706.0,154.0,1339.0,962.0,18.2,50.4,0.8057
1.9,1176.0,6.8,851.0,528.0,718.0,136.0,864.0,1146.0,0.9,67.3,0.3122
2.6,1142.0,18.6,1267.0,435.0,650.0,172.0,1421.0,1339.0,24.1,25.7,0.7212
2.5,1090.0,8.5,910.0,165.0,849.0,63.0,1713.0,1070.0,11.4,79.8,1.3078
0.4,890.0,1.8,571.0,26.0,1369.0,34.0,1410.0,487.0,25.4,54.3,1.5156
4.2,1446.0,23.4,1390.0,181.0,605.0,118.0,2259.0,1278.0,31.0,29.1,1.2156
0.5,871.0,2.8,640.0,57.0,1207.0,40.0,1106.0,538.0,15.7,54.9,1.0361
5.7,1616.0,28.5,1520.0,1067.0,392.0,243.0,1752.0,2107.0,21.9,43.5,1.0189
0.9,892.0,3.4,678.0,75.0,960.0,62.0,1228.0,512.0,22.5,46.4,1.1019
2.4,1146.0,9.5,960.0,362.0,562.0,126.0,1413.0,874.0,22.2,57.7,1.268
2.9,1237.0,14.8,1145.0,392.0,496.0,158.0,1476.0,1223.0,14.4,57.4,0.9703
4.1,1322.0,17.9,1240.0,581.0,545.0,185.0,1326.0,1425.0,12.2,36.3,0.6036
1.3,1069.0,5.6,785.0,78.0,1065.0,85.0,1283.0,828.0,14.0,43.5,0.6663
3.8,1697.0,18.6,1253.0,753.0,451.0,239.0,1181.0,1708.0,9.4,41.6,0.373
1.4,1024.0,7.1,859.0,206.0,743.0,105.0,1258.0,972.0,12.2,58.0,1.1835
4.2,1251.0,16.3,1184.0,464.0,621.0,159.0,1503.0,1130.0,20.0,59.1,1.0382
2.2,1176.0,14.8,1141.0,219.0,634.0,163.0,1800.0,1363.0,22.2,32.4,1.0707
0.5,840.0,3.0,657.0,140.0,960.0,89.0,950.0,708.0,2.9,69.1,0.5644
2.5,1172.0,12.0,1042.0,331.0,687.0,109.0,1808.0,1081.0,20.8,51.3,1.2343
7.5,1768.0,48.5,1912.0,761.0,487.0,298.0,2264.0,2146.0,31.4,13.4,0.7529
0.8,970.0,2.9,642.0,52.0,1130.0,56.0,1290.0,475.0,17.9,55.7,1.1518
0.2,746.0,0.6,458.0,31.0,1612.0,50.0,687.0,360.0,5.7,49.6,0.3147
2.6,1204.0,10.6,989.0,529.0,672.0,194.0,1109.0,1372.0,1.9,68.4,0.3295
1.2,941.0,7.3,868.0,100.0,810.0,91.0,1616.0,737.0,37.6,30.6,1.5122
1.7,920.0,7.2,865.0,88.0,960.0,85.0,1494.0,827.0,31.9,22.4,1.0619
0.9,960.0,4.2,719.0,57.0,1046.0,94.0,1252.0,636.0,13.1,54.3,0.9089
1.0,1066.0,9.3,950.0,403.0,732.0,138.0,1006.0,1303.0,3.2,58.9,0.4422
1.0,879.0,4.6,739.0,113.0,992.0,145.0,1163.0,689.0,16.1,19.9,0.4373
2.3,1088.0,7.1,856.0,37.0,935.0,68.0,1754.0,758.0,17.6,60.4,1.24
0.4,756.0,2.7,639.0,52.0,1190.0,92.0,985.0,698.0,7.4,32.0,0.3147
1.1,1045.0,4.5,741.0,130.0,997.0,85.0,1132.0,541.0,7.4,59.9,0.4419
4.2,1269.0,19.4,1286.0,492.0,552.0,154.0,1783.0,1655.0,12.6,51.5,0.928
2.4,1003.0,20.0,1304.0,203.0,627.0,79.0,1987.0,960.0,37.2,34.8,1.7222
0.9,875.0,3.8,706.0,46.0,1195.0,85.0,1230.0,637.0,13.1,49.7,0.7003
1.3,1160.0,7.1,860.0,157.0,784.0,117.0,1501.0,1086.0,13.0,69.6,1.2134
0.9,896.0,3.0,653.0,185.0,874.0,115.0,869.0,646.0,12.3,47.6,0.671
0.2,746.0,0.9,494.0,19.0,1432.0,41.0,1036.0,423.0,6.5,51.8,0.526
1.2,853.0,3.5,681.0,98.0,1008.0,79.0,1159.0,684.0,13.9,40.3,0.8358
2.2,1133.0,12.0,1049.0,611.0,694.0,201.0,1069.0,1376.0,8.1,51.1,0.4904
0.8,1059.0,5.6,784.0,308.0,826.0,106.0,1012.0,1056.0,7.5,64.5,0.6949
2.7,1488.0,22.2,1356.0,421.0,459.0,153.0,1852.0,1561.0,7.7,75.5,1.1719
