CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.0,1129.0,7.0,853.0,253.0,709.0,152.0,1089.0,1020.0,14.0,40.6,0.6079
0.5,906.0,1.6,555.0,32.0,1367.0,63.0,1197.0,584.0,14.3,61.0,1.0116
3.2,1181.0,16.7,1205.0,386.0,674.0,118.0,1652.0,1193.0,18.8,54.8,1.2055
1.3,1152.0,9.4,952.0,238.0,715.0,90.0,1391.0,1240.0,20.4,47.7,1.1504
1.1,1041.0,4.2,714.0,233.0,729.0,133.0,957.0,855.0,5.1,59.3,0.6229
2.3,1236.0,11.6,1032.0,309.0,631.0,162.0,1334.0,1161.0,7.3,58.1,0.802
0.7,789.0,2.4,614.0,116.0,1248.0,41.0,1123.0,610.0,20.4,68.4,1.2824
1.6,1105.0,6.1,811.0,148.0,694.0,76.0,1464.0,1112.0,9.4,68.0,0.9179
0.8,893.0,4.4,720.0,72.0,1033.0,75.0,1718.0,618.0,38.2,42.9,1.7861
1.3,1119.0,6.0,807.0,174.0,738.0,63.0,1534.0,918.0,26.2,71.9,1.9428
1.6,963.0,6.5,827.0,92.0,837.0,82.0,1401.0,703.0,29.7,32.7,1.2897
1.5,1032.0,3.7,694.0,244.0,1224.0,104.0,1087.0,538.0,8.7,59.4,0.6094
3.2,1159.0,23.3,1396.0,202.0,698.0,127.0,2034.0,1338.0,28.2,23.8,0.9086
1.3,1148.0,5.3,777.0,127.0,804.0,100.0,1374.0,845.0,10.8,67.5,1.0331
0.7,843.0,2.2,599.0,154.0,783.0,95.0,840.0,610.0,10.0,47.3,0.6701
2.6,1251.0,14.8,1148.0,187.0,594.0,108.0,1803.0,1232.0,23.7,54.2,1.1071
1.1,861.0,5.7,805.0,61.0,1235.0,64.0,1227.0,472.0,15.3,35.4,0.6477
0.8,938.0,3.2,657.0,197.0,882.0,79.0,1037.0,697.0,9.0,64.7,0.9431
2.3,1075.0,12.8,1079.0,270.0,692.0,139.0,1369.0,1193.0,21.7,20.4,0.6303
1.1,1200.0,7.3,867.0,242.0,545.0,98.0,1343.0,1261.0,11.4,72.8,1.2591
1.0,983.0,6.2,819.0,44.0,1090.0,74.0,1549.0,708.0,24.4,24.1,0.9565
5.6,1707.0,28.5,1511.0,382.0,582.0,183.0,2254.0,1543.0,26.3,62.5,1.526
2.7,971.0,13.1,1083.0,209.0,1146.0,109.0,1440.0,763.0,24.3,17.7,0.6594
3.1,1225.0,15.3,1165.0,364.0,638.0,103.0,1644.0,1171.0,17.2,61.1,1.0282
0.7,744.0,2.5,618.0,121.0,1446.0,33.0,865.0,407.0,16.4,20.9,0.4434
1.8,1066.0,6.7,838.0,76.0,753.0,111.0,1688.0,889.0,17.2,52.5,1.0317
4.8,1584.0,25.5,1436.0,632.0,536.0,151.0,1927.0,2031.0,11.3,63.0,0.9694
1.7,1095.0,7.6,878.0,319.0,943.0,146.0,1021.0,827.0,9.3,34.2,0.3985
0.6,1001.0,5.7,787.0,29.0,942.0,75.0,1640.0,892.0,27.6,33.3,1.4594
2.7,1187.0,16.3,1187.0,273.0,508.0,127.0,1714.0,1672.0,25.9,18.6,0.9215
0.3,818.0,0.5,444.0,35.0,1405.0,48.0,907.0,468.0,1.7,83.4,0.7253
3.5,1339.0,15.6,1168.0,261.0,592.0,146.0,1667.0,1241.0,24.6,61.5,1.3795
1.9,1112.0,10.1,970.0,170.0,729.0,148.0,1593.0,1045.0,23.3,57.3,1.466
3.8,1342.0,14.7,1148.0,537.0,631.0,101.0,1204.0,1542.0,7.1,62.4,0.5435
2.0,1076.0,4.1,717.0,406.0,796.0,172.0,808.0,1050.0,-0.8,81.0,0.3319
1.5,913.0,3.8,693.0,188.0,906.0,81.0,1032.0,655.0,12.8,51.9,1.0142
1.9,1193.0,14.6,1142.0,226.0,589.0,135.0,1602.0,1318.0,22.6,34.1,1.1058
3.3,1417.0,24.1,1416.0,222.0,646.0,106.0,2391.0,1852.0,19.3,76.4,1.7794
5.2,1461.0,32.1,1604.0,593.0,419.0,233.0,1768.0,1785.0,19.1,28.2,0.6243
6.1,1626.0,20.7,1331.0,337.0,616.0,126.0,2163.0,1559.0,22.9,54.9,1.2632
1.9,1242.0,13.1,1088.0,166.0,625.0,160.0,1546.0,1580.0,13.3,44.7,0.773
1.2,1000.0,4.3,727.0,70.0,892.0,67.0,1227.0,671.0,20.3,45.8,1.0541
0.7,905.0,3.0,656.0,114.0,1120.0,92.0,896.0,708.0,6.7,53.0,0.4675
1.6,1093.0,9.8,975.0,201.0,795.0,104.0,1330.0,1292.0,19.1,21.7,0.4974
2.3,1201.0,13.7,1100.0,113.0,730.0,98.0,1783.0,1001.0,31.7,21.2,1.3555
1.2,920.0,5.1,766.0,52.0,1378.0,47.0,1340.0,585.0,14.6,26.6,0.4385
1.9,945.0,6.0,812.0,364.0,1083.0,121.0,1006.0,950.0,2.0,63.9,0.3651
0.8,1005.0,3.2,671.0,113.0,849.0,87.0,1017.0,946.0,6.8,57.6,0.5449
1.9,955.0,5.1,773.0,239.0,811.0,155.0,920.0,659.0,12.4,37.6,0.6692
0.4,783.0,2.3,606.0,68.0,1220.0,55.0,933.0,490.0,26.2,31.9,0.8065
1.7,1004.0,6.6,831.0,51.0,1138.0,62.0,1737.0,745.0,26.3,36.2,1.4255
2.1,1225.0,9.8,971.0,156.0,745.0,136.0,1604.0,1232.0,28.6,30.2,1.2423
2.6,1255.0,12.8,1079.0,264.0,569.0,158.0,1701.0,1594.0,22.4,37.2,1.1708
0.6,923.0,2.8,647.0,140.0,1100.0,57.0,1159.0,914.0,5.7,84.2,1.0007
3.2,1292.0,16.0,1179.0,292.0,696.0,148.0,1568.0,1512.0,21.6,27.9,0.8161
2.7,1070.0,13.4,1090.0,351.0,669.0,166.0,1407.0,1176.0,10.6,38.3,0.4796
0.4,756.0,1.7,564.0,36.0,1439.0,21.0,1218.0,382.0,19.6,61.3,1.39
1.6,839.0,3.3,665.0,262.0,819.0,109.0,839.0,906.0,9.2,39.9,0.4108
4.1,1260.0,20.1,1302.0,391.0,484.0,156.0,1835.0,1455.0,32.2,28.2,1.4229
3.7,1207.0,15.7,1172.0,705.0,639.0,232.0,1242.0,1435.0,13.4,30.1,0.3637
1.6,1051.0,6.0,804.0,144.0,1114.0,102.0,1432.0,777.0,14.1,48.3,0.8984
3.4,1184.0,18.6,1266.0,118.0,602.0,81.0,2205.0,1057.0,39.7,34.0,1.904
2.4,1120.0,9.0,934.0,240.0,854.0,131.0,1336.0,1156.0,19.7,38.9,0.5674
2.0,1049.0,7.4,873.0,121.0,1029.0,94.0,1718.0,1064.0,26.6,60.7,1.6308
0.3,786.0,2.5,619.0,28.0,1326.0,49.0,1315.0,573.0,28.8,29.7,1.1487
2.8,1324.0,19.7,1296.0,520.0,549.0,192.0,1876.0,1574.0,21.0,56.5,1.1233
0.7,830.0,2.5,613.0,24.0,1171.0,31.0,1661.0,542.0,30.4,52.8,1.8362
2.2,1048.0,12.0,1041.0,139.0,703.0,110.0,1646.0,1078.0,30.0,29.6,1.2181
1.1,929.0,3.0,657.0,364.0,902.0,95.0,890.0,880.0,0.8,84.5,0.7743
1.3,1032.0,4.5,730.0,22.0,1228.0,36.0,1777.0,514.0,24.5,50.3,1.4114
1.6,1029.0,4.8,756.0,507.0,935.0,130.0,919.0,852.0,2.9,69.0,0.4169
1.2,1035.0,4.7,747.0,69.0,856.0,46.0,1533.0,617.0,27.1,60.5,1.8055
1.1,895.0,4.3,722.0,254.0,941.0,118.0,1077.0,680.0,16.1,48.6,0.7519
3.0,1106.0,9.4,958.0,316.0,624.0,130.0,1298.0,959.0,28.6,24.5,1.0689
1.5,1204.0,7.8,886.0,89.0,740.0,100.0,1610.0,1093.0,19.0,62.7,1.1417
