Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_Use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Age,Customer_Value,Churn
2.0,0.0,38.0,0.0,710.0,14.0,13.0,8.0,3.0,1.0,2.0,30.0,80.96,0.0
17.0,0.0,35.0,2.0,9340.0,125.0,141.0,41.0,3.0,1.0,1.0,30.0,942.6,0.0
1.0,0.0,37.0,0.0,13063.0,158.0,0.0,44.0,3.0,1.0,1.0,30.0,528.84,0.0
0.0,0.0,35.0,0.0,290.0,2.0,0.0,2.0,2.0,1.0,2.0,25.0,13.14,0.0
0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25.0,0.0,1.0
9.0,0.0,37.0,0.0,4775.0,76.0,23.0,15.0,2.0,1.0,1.0,25.0,321.795,0.0
11.0,0.0,42.0,1.0,4278.0,68.0,11.0,39.0,1.0,1.0,1.0,15.0,299.53,0.0
31.0,1.0,39.0,4.0,15850.0,236.0,62.0,32.0,3.0,1.0,1.0,30.0,891.44,0.0
4.0,0.0,36.0,0.0,2535.0,50.0,173.0,23.0,2.0,1.0,1.0,25.0,894.825,0.0
14.0,0.0,29.0,6.0,10130.0,81.0,0.0,39.0,4.0,1.0,1.0,45.0,255.275,0.0
27.0,0.0,31.0,3.0,16265.0,239.0,9.0,83.0,2.0,1.0,1.0,25.0,783.18,0.0
9.0,0.0,18.0,2.0,2558.0,41.0,17.0,6.0,3.0,1.0,1.0,30.0,171.96,0.0
14.0,1.0,37.0,0.0,3295.0,47.0,16.0,18.0,3.0,1.0,2.0,30.0,197.68,1.0
4.0,0.0,37.0,0.0,3488.0,55.0,0.0,35.0,1.0,1.0,1.0,15.0,194.865,0.0
4.0,0.0,41.0,1.0,3718.0,88.0,10.0,29.0,3.0,1.0,1.0,30.0,192.24,0.0
6.0,0.0,39.0,0.0,13368.0,164.0,0.0,46.0,3.0,1.0,1.0,30.0,541.28,0.0
13.0,0.0,36.0,1.0,2578.0,58.0,355.0,21.0,3.0,1.0,1.0,30.0,1525.44,0.0
1.0,0.0,32.0,0.0,4130.0,75.0,0.0,19.0,3.0,1.0,1.0,30.0,168.2,0.0
11.0,0.0,18.0,4.0,2913.0,48.0,36.0,21.0,3.0,1.0,1.0,30.0,262.44,0.0
11.0,0.0,37.0,5.0,7385.0,128.0,310.0,39.0,3.0,2.0,1.0,30.0,1540.52,0.0
14.0,0.0,38.0,0.0,1973.0,40.0,20.0,18.0,3.0,1.0,2.0,30.0,160.52,1.0
10.0,0.0,39.0,2.0,11525.0,157.0,16.0,49.0,4.0,2.0,1.0,45.0,332.05,0.0
4.0,0.0,36.0,0.0,2590.0,52.0,166.0,20.0,2.0,1.0,1.0,25.0,865.89,0.0
10.0,0.0,37.0,0.0,2453.0,60.0,359.0,24.0,3.0,1.0,1.0,30.0,1536.52,0.0
14.0,0.0,39.0,1.0,15790.0,188.0,157.0,32.0,2.0,1.0,1.0,25.0,1425.51,0.0
11.0,0.0,40.0,1.0,4485.0,76.0,3.0,16.0,3.0,1.0,1.0,30.0,194.44,0.0
0.0,0.0,34.0,0.0,323.0,1.0,2.0,2.0,4.0,1.0,2.0,45.0,13.1,1.0
0.0,0.0,37.0,0.0,223.0,2.0,0.0,6.0,4.0,1.0,2.0,45.0,5.625,1.0
2.0,0.0,34.0,1.0,6380.0,92.0,0.0,24.0,5.0,1.0,1.0,55.0,97.08,0.0
2.0,0.0,36.0,1.0,528.0,5.0,13.0,5.0,5.0,1.0,1.0,55.0,27.495,0.0
7.0,0.0,35.0,0.0,2665.0,39.0,284.0,19.0,3.0,1.0,1.0,30.0,1244.16,0.0
6.0,0.0,32.0,1.0,8630.0,107.0,126.0,36.0,3.0,1.0,1.0,30.0,853.48,0.0
20.0,0.0,31.0,0.0,840.0,42.0,18.0,18.0,2.0,1.0,2.0,25.0,120.69,1.0
1.0,0.0,34.0,0.0,2475.0,47.0,168.0,21.0,2.0,1.0,1.0,25.0,869.49,0.0
1.0,0.0,37.0,0.0,13063.0,158.0,0.0,44.0,3.0,1.0,1.0,30.0,528.84,0.0
0.0,0.0,34.0,0.0,3658.0,79.0,0.0,26.0,2.0,1.0,1.0,25.0,168.165,0.0
6.0,0.0,38.0,1.0,2605.0,42.0,287.0,18.0,3.0,1.0,1.0,30.0,1253.88,0.0
8.0,0.0,36.0,0.0,1855.0,44.0,13.0,18.0,3.0,1.0,2.0,30.0,127.96,0.0
9.0,0.0,38.0,1.0,15600.0,188.0,182.0,34.0,2.0,1.0,1.0,25.0,1529.46,0.0
5.0,0.0,34.0,1.0,305.0,6.0,7.0,2.0,5.0,1.0,1.0,55.0,15.165,0.0
