Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_Use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Age,Customer_Value,Churn
0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,45.0,0.0,0.0
7.0,0.0,35.0,1.0,3550.0,33.0,8.0,14.0,3.0,1.0,1.0,30.0,175.32,0.0
8.0,0.0,39.0,4.0,6965.0,122.0,279.0,34.0,3.0,2.0,1.0,30.0,1399.48,0.0
0.0,0.0,37.0,0.0,5208.0,84.0,0.0,12.0,2.0,1.0,1.0,25.0,238.14,0.0
8.0,0.0,40.0,1.0,2698.0,64.0,9.0,35.0,2.0,1.0,1.0,25.0,164.79,0.0
12.0,0.0,38.0,2.0,8710.0,116.0,126.0,45.0,3.0,1.0,1.0,30.0,857.04,0.0
18.0,0.0,30.0,0.0,535.0,35.0,0.0,11.0,2.0,1.0,2.0,25.0,25.65,1.0
0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25.0,0.0,1.0
8.0,0.0,24.0,1.0,1793.0,43.0,27.0,66.0,4.0,1.0,1.0,45.0,113.4,0.0
12.0,0.0,40.0,0.0,2633.0,68.0,370.0,29.0,3.0,1.0,1.0,30.0,1588.04,0.0
8.0,0.0,37.0,0.0,1970.0,50.0,45.0,22.0,3.0,1.0,2.0,30.0,260.8,0.0
12.0,0.0,38.0,0.0,4388.0,67.0,10.0,38.0,1.0,1.0,1.0,15.0,300.025,0.0
2.0,0.0,38.0,0.0,710.0,14.0,13.0,8.0,3.0,1.0,2.0,30.0,80.96,0.0
6.0,0.0,36.0,1.0,3145.0,28.0,7.0,16.0,3.0,1.0,1.0,30.0,154.92,0.0
0.0,0.0,7.0,0.0,4085.0,34.0,208.0,8.0,3.0,1.0,1.0,30.0,996.76,0.0
2.0,0.0,37.0,1.0,3833.0,88.0,34.0,32.0,3.0,1.0,1.0,30.0,292.84,0.0
9.0,0.0,37.0,0.0,15485.0,182.0,150.0,30.0,2.0,1.0,1.0,25.0,1380.015,0.0
11.0,0.0,40.0,0.0,15665.0,190.0,161.0,35.0,2.0,1.0,1.0,25.0,1437.975,0.0
10.0,0.0,39.0,2.0,3805.0,38.0,491.0,8.0,3.0,1.0,1.0,30.0,2117.72,0.0
7.0,0.0,37.0,0.0,15240.0,179.0,148.0,30.0,2.0,1.0,1.0,25.0,1359.855,0.0
0.0,0.0,33.0,0.0,1248.0,13.0,0.0,3.0,3.0,1.0,1.0,30.0,50.44,0.0
10.0,0.0,44.0,2.0,2745.0,47.0,302.0,24.0,4.0,1.0,1.0,45.0,824.8,0.0
2.0,0.0,37.0,0.0,13583.0,169.0,25.0,46.0,3.0,1.0,1.0,30.0,650.08,0.0
2.0,0.0,23.0,0.0,1388.0,31.0,19.0,63.0,4.0,1.0,1.0,45.0,82.975,0.0
1.0,0.0,35.0,0.0,1548.0,44.0,331.0,7.0,2.0,1.0,1.0,25.0,1561.14,0.0
12.0,0.0,33.0,0.0,2573.0,44.0,33.0,32.0,3.0,1.0,2.0,30.0,236.68,1.0
0.0,0.0,38.0,0.0,3493.0,78.0,5.0,30.0,2.0,1.0,1.0,25.0,183.195,0.0
1.0,0.0,36.0,0.0,1005.0,18.0,27.0,21.0,2.0,1.0,2.0,25.0,167.535,0.0
4.0,0.0,36.0,0.0,1933.0,48.0,1.0,15.0,3.0,1.0,2.0,30.0,83.24,0.0
9.0,0.0,22.0,0.0,700.0,19.0,2.0,6.0,2.0,1.0,2.0,25.0,41.355,0.0
13.0,0.0,39.0,2.0,7023.0,81.0,115.0,39.0,2.0,1.0,1.0,25.0,837.18,0.0
10.0,0.0,38.0,0.0,4198.0,66.0,1.0,35.0,1.0,1.0,1.0,15.0,240.02,0.0
6.0,0.0,34.0,1.0,5963.0,91.0,7.0,8.0,3.0,1.0,1.0,30.0,270.16,0.0
8.0,0.0,37.0,0.0,1970.0,50.0,45.0,22.0,3.0,1.0,2.0,30.0,260.8,0.0
4.0,0.0,36.0,1.0,2900.0,25.0,5.0,16.0,3.0,1.0,1.0,30.0,137.0,0.0
11.0,0.0,34.0,3.0,1620.0,48.0,208.0,14.0,3.0,2.0,1.0,30.0,898.72,0.0
3.0,0.0,24.0,1.0,1863.0,43.0,44.0,81.0,4.0,1.0,1.0,45.0,157.65,0.0
9.0,0.0,39.0,0.0,6423.0,71.0,94.0,24.0,2.0,1.0,1.0,25.0,715.23,0.0
15.0,0.0,30.0,1.0,14575.0,209.0,32.0,24.0,2.0,1.0,1.0,25.0,809.28,0.0
