Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_Use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Age,Customer_Value,Churn
16.0,0.0,29.0,0.0,15170.0,222.0,0.0,63.0,2.0,1.0,1.0,25.0,692.64,0.0
6.0,0.0,43.0,0.0,385.0,8.0,17.0,6.0,2.0,1.0,2.0,25.0,94.185,1.0
0.0,0.0,20.0,0.0,1470.0,22.0,31.0,16.0,2.0,1.0,1.0,25.0,206.64,0.0
29.0,0.0,29.0,3.0,16300.0,242.0,7.0,78.0,2.0,1.0,1.0,25.0,775.89,0.0
13.0,0.0,43.0,2.0,6978.0,85.0,123.0,43.0,2.0,1.0,1.0,25.0,871.335,0.0
15.0,0.0,29.0,0.0,590.0,38.0,4.0,13.0,2.0,1.0,2.0,25.0,46.26,1.0
0.0,0.0,36.0,0.0,1068.0,15.0,0.0,3.0,3.0,1.0,1.0,30.0,43.32,0.0
10.0,0.0,34.0,1.0,3005.0,57.0,172.0,21.0,2.0,1.0,1.0,25.0,911.79,0.0
5.0,0.0,39.0,0.0,553.0,14.0,39.0,8.0,3.0,1.0,2.0,30.0,178.68,1.0
14.0,1.0,41.0,0.0,3250.0,51.0,24.0,22.0,3.0,1.0,2.0,30.0,228.04,1.0
4.0,0.0,41.0,1.0,4210.0,83.0,3.0,24.0,3.0,1.0,1.0,30.0,183.72,0.0
0.0,0.0,35.0,0.0,1345.0,22.0,253.0,16.0,3.0,1.0,1.0,30.0,1066.68,0.0
7.0,0.0,26.0,0.0,3415.0,61.0,7.0,21.0,3.0,1.0,1.0,30.0,167.04,0.0
0.0,0.0,32.0,0.0,2415.0,44.0,163.0,19.0,2.0,1.0,1.0,25.0,844.155,0.0
16.0,1.0,43.0,0.0,2723.0,68.0,26.0,24.0,3.0,1.0,2.0,30.0,215.64,0.0
5.0,0.0,35.0,0.0,1910.0,47.0,40.0,20.0,3.0,1.0,2.0,30.0,238.28,0.0
6.0,1.0,34.0,0.0,2208.0,41.0,29.0,29.0,3.0,1.0,2.0,30.0,205.96,1.0
0.0,0.0,35.0,0.0,2715.0,24.0,4.0,17.0,3.0,1.0,1.0,30.0,125.56,0.0
0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25.0,0.0,0.0
0.0,0.0,32.0,0.0,2780.0,19.0,0.0,12.0,3.0,1.0,1.0,30.0,111.96,0.0
5.0,0.0,33.0,0.0,920.0,10.0,7.0,7.0,2.0,1.0,2.0,25.0,73.35,0.0
7.0,0.0,38.0,1.0,4515.0,83.0,2.0,25.0,3.0,1.0,1.0,30.0,191.92,0.0
20.0,0.0,29.0,2.0,15770.0,232.0,0.0,78.0,2.0,1.0,1.0,25.0,720.09,0.0
5.0,0.0,18.0,1.0,1940.0,29.0,30.0,14.0,2.0,1.0,1.0,25.0,223.605,0.0
0.0,0.0,34.0,0.0,1875.0,37.0,147.0,6.0,2.0,1.0,1.0,25.0,747.54,0.0
1.0,0.0,33.0,0.0,2393.0,52.0,0.0,32.0,1.0,1.0,1.0,15.0,134.475,0.0
2.0,0.0,35.0,1.0,7803.0,131.0,398.0,56.0,2.0,1.0,1.0,25.0,2148.03,0.0
13.0,0.0,43.0,2.0,3775.0,88.0,40.0,29.0,3.0,1.0,1.0,30.0,314.52,0.0
19.0,0.0,33.0,8.0,10255.0,85.0,0.0,37.0,5.0,1.0,1.0,55.0,155.1,0.0
32.0,1.0,36.0,4.0,16560.0,252.0,18.0,87.0,2.0,2.0,1.0,25.0,837.54,0.0
7.0,0.0,38.0,0.0,3175.0,72.0,11.0,13.0,3.0,1.0,1.0,30.0,173.88,0.0
20.0,0.0,40.0,2.0,16500.0,199.0,165.0,32.0,2.0,1.0,1.0,25.0,1493.955,0.0
9.0,0.0,40.0,1.0,2665.0,45.0,292.0,20.0,3.0,1.0,1.0,30.0,1276.4,0.0
12.0,0.0,26.0,2.0,2260.0,42.0,50.0,22.0,3.0,1.0,1.0,30.0,292.08,0.0
7.0,0.0,35.0,2.0,7013.0,79.0,122.0,50.0,2.0,1.0,1.0,25.0,868.14,0.0
23.0,0.0,35.0,3.0,14960.0,217.0,43.0,27.0,3.0,1.0,1.0,30.0,779.08,0.0
25.0,0.0,31.0,3.0,16075.0,238.0,0.0,80.0,2.0,2.0,1.0,25.0,734.085,0.0
12.0,0.0,42.0,2.0,3165.0,61.0,192.0,29.0,2.0,1.0,1.0,25.0,1009.17,0.0
21.0,0.0,40.0,3.0,14915.0,221.0,57.0,34.0,3.0,1.0,1.0,30.0,833.44,0.0
1.0,0.0,33.0,1.0,6595.0,96.0,5.0,19.0,5.0,1.0,1.0,55.0,107.865,0.0
25.0,0.0,35.0,3.0,16030.0,242.0,8.0,84.0,2.0,1.0,1.0,25.0,768.24,0.0
16.0,0.0,40.0,2.0,4080.0,88.0,39.0,30.0,3.0,1.0,1.0,30.0,322.72,0.0
0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,55.0,0.0,0.0
5.0,0.0,32.0,1.0,3065.0,26.0,7.0,12.0,3.0,1.0,1.0,30.0,151.64,0.0
6.0,0.0,35.0,0.0,3030.0,22.0,7.0,12.0,3.0,1.0,1.0,30.0,150.08,0.0
1.0,0.0,36.0,0.0,5613.0,89.0,0.0,10.0,2.0,1.0,1.0,25.0,256.59,0.0
0.0,0.0,37.0,0.0,875.0,14.0,0.0,11.0,2.0,1.0,2.0,25.0,40.005,1.0
3.0,0.0,34.0,0.0,6298.0,63.0,69.0,31.0,2.0,1.0,1.0,25.0,596.745,0.0
11.0,0.0,35.0,3.0,7155.0,116.0,246.0,31.0,2.0,2.0,1.0,25.0,1434.195,0.0
6.0,0.0,38.0,0.0,4180.0,70.0,0.0,14.0,3.0,1.0,1.0,30.0,170.0,0.0
17.0,0.0,17.0,1.0,9238.0,177.0,80.0,42.0,5.0,1.0,1.0,55.0,261.225,0.0
14.0,0.0,40.0,3.0,7515.0,103.0,201.0,28.0,3.0,1.0,1.0,30.0,1108.72,0.0
8.0,0.0,30.0,0.0,395.0,25.0,11.0,6.0,3.0,1.0,2.0,30.0,60.8,0.0
26.0,0.0,38.0,9.0,10740.0,99.0,8.0,44.0,5.0,1.0,1.0,55.0,174.585,0.0
0.0,0.0,35.0,0.0,760.0,9.0,2.0,12.0,2.0,1.0,2.0,25.0,43.605,0.0
