Call_Failure,Complains,Subscription_Length,Charge_Amount,Seconds_of_Use,Frequency_of_use,Frequency_of_SMS,Distinct_Called_Numbers,Age_Group,Tariff_Plan,Status,Age,Customer_Value,Churn
5.0,0.0,11.0,2.0,4505.0,45.0,213.0,9.0,3.0,1.0,1.0,30.0,1034.0,0.0
0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,45.0,0.0,0.0
3.0,0.0,37.0,0.0,7508.0,127.0,384.0,43.0,2.0,1.0,1.0,25.0,2071.575,0.0
18.0,0.0,41.0,3.0,5530.0,100.0,17.0,27.0,4.0,1.0,1.0,45.0,183.25,0.0
0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25.0,0.0,1.0
0.0,0.0,23.0,0.0,2920.0,55.0,1.0,21.0,3.0,1.0,1.0,30.0,123.0,0.0
0.0,0.0,27.0,0.0,420.0,5.0,3.0,5.0,4.0,1.0,2.0,45.0,18.125,0.0
0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,25.0,0.0,0.0
9.0,0.0,36.0,0.0,2375.0,55.0,46.0,20.0,3.0,1.0,2.0,30.0,281.2,0.0
9.0,1.0,36.0,0.0,3105.0,47.0,41.0,20.0,3.0,1.0,2.0,30.0,290.08,1.0
4.0,0.0,35.0,0.0,15180.0,176.0,143.0,28.0,2.0,1.0,1.0,25.0,1334.52,0.0
5.0,0.0,32.0,0.0,2700.0,51.0,165.0,19.0,2.0,1.0,1.0,25.0,866.295,0.0
8.0,0.0,36.0,0.0,6603.0,69.0,76.0,33.0,2.0,1.0,1.0,25.0,642.24,0.0
12.0,0.0,34.0,5.0,9530.0,77.0,0.0,25.0,4.0,1.0,1.0,45.0,240.175,0.0
14.0,0.0,39.0,1.0,8820.0,117.0,130.0,30.0,3.0,1.0,1.0,30.0,877.48,0.0
15.0,0.0,43.0,2.0,15870.0,190.0,167.0,36.0,2.0,1.0,1.0,25.0,1474.2,0.0
9.0,0.0,28.0,1.0,1873.0,45.0,37.0,70.0,5.0,1.0,1.0,55.0,84.27,0.0
6.0,0.0,35.0,0.0,3355.0,70.0,0.0,22.0,2.0,1.0,1.0,25.0,154.125,0.0
4.0,0.0,33.0,0.0,1848.0,32.0,0.0,25.0,3.0,1.0,2.0,30.0,75.2,1.0
0.0,0.0,34.0,0.0,2240.0,12.0,0.0,4.0,3.0,1.0,1.0,30.0,90.08,0.0
0.0,0.0,33.0,0.0,2130.0,11.0,0.0,14.0,3.0,1.0,1.0,30.0,85.64,0.0
