Age,Age Group,Call Failure,Charge Amount,Churn,Complains,Customer Value,Distinct Called Numbers,Frequency of SMS,Frequency of use,Seconds of Use,Status,Subscription Length,Tariff Plan
25.0,2.0,8.0,2.0,0.0,0.0,204.2285100751529,7.0,16.0,40.0,720.0,1.0,26.0,1.0
19.0,1.0,0.0,0.0,0.0,0.0,174.76817103107027,9.0,7.0,59.0,4108.0,1.0,23.0,1.0
30.0,3.0,4.0,1.0,0.0,1.0,185.31291017398848,13.0,99.0,47.0,1327.0,1.0,34.0,1.0
22.0,2.0,3.0,0.0,0.0,1.0,487.20319168522997,60.0,42.0,98.0,4766.0,1.0,37.0,1.0
42.0,4.0,3.0,3.0,0.0,0.0,256.33360779438254,36.0,1.0,164.0,10296.0,1.0,24.0,1.0
21.0,2.0,3.0,1.0,0.0,0.0,700.5811743270081,30.0,157.0,201.0,11880.0,1.0,26.0,2.0
31.0,3.0,1.0,1.0,0.0,0.0,314.0518731773737,16.0,7.0,75.0,4594.0,1.0,6.0,1.0
53.0,5.0,3.0,0.0,0.0,1.0,167.8125869335756,16.0,1.0,40.0,1806.0,1.0,34.0,1.0
42.0,4.0,4.0,1.0,0.0,0.0,363.2974423076536,27.0,175.0,55.0,1134.0,1.0,30.0,2.0
20.0,1.0,1.0,0.0,0.0,0.0,332.19767473422354,17.0,30.0,109.0,1137.0,1.0,33.0,2.0
31.0,3.0,1.0,0.0,0.0,0.0,203.01173543205556,16.0,47.0,54.0,2114.0,1.0,5.0,1.0
25.0,2.0,1.0,0.0,0.0,0.0,633.6901129991907,15.0,166.0,10.0,1785.0,1.0,39.0,1.0
41.0,4.0,4.0,0.0,0.0,0.0,966.6690667354136,59.0,150.0,113.0,9443.0,1.0,29.0,1.0
30.0,3.0,0.0,0.0,1.0,0.0,299.3347456296025,38.0,57.0,119.0,4347.0,1.0,35.0,1.0
40.0,4.0,6.0,2.0,0.0,0.0,685.1211854030889,43.0,12.0,144.0,9662.0,1.0,32.0,1.0
25.0,2.0,0.0,0.0,0.0,0.0,53.36612358428101,3.0,4.0,84.0,464.0,1.0,9.0,1.0
30.0,3.0,5.0,0.0,0.0,0.0,439.0490322157146,67.0,94.0,137.0,9671.0,1.0,37.0,1.0
42.0,4.0,2.0,1.0,0.0,0.0,769.5971321951275,30.0,77.0,147.0,12874.0,1.0,30.0,1.0
28.0,3.0,2.0,0.0,0.0,0.0,315.1925210160846,32.0,22.0,69.0,3201.0,1.0,42.0,1.0
31.0,3.0,0.0,0.0,0.0,1.0,62.031144104722586,8.0,0.0,43.0,1812.0,1.0,31.0,1.0
30.0,3.0,0.0,0.0,0.0,0.0,710.4753392747449,31.0,152.0,150.0,10892.0,1.0,33.0,1.0
51.0,4.0,1.0,0.0,1.0,1.0,95.95534531799649,17.0,42.0,62.0,809.0,1.0,30.0,1.0
22.0,2.0,2.0,0.0,0.0,1.0,1.607466031090231,5.0,0.0,245.0,895.0,1.0,26.0,1.0
51.0,4.0,10.0,7.0,0.0,1.0,2111.2767837630904,45.0,70.0,186.0,16679.0,1.0,27.0,1.0
33.0,3.0,2.0,1.0,0.0,0.0,1423.2167863583277,51.0,2.0,114.0,12693.0,1.0,23.0,1.0
