Age,Age Group,Call Failure,Charge Amount,Churn,Complains,Customer Value,Distinct Called Numbers,Frequency of SMS,Frequency of use,Seconds of Use,Status,Subscription Length,Tariff Plan
39.0,4.0,4.0,2.0,0.0,1.0,1016.9814541949424,46.0,116.0,73.0,4372.0,1.0,33.0,1.0
35.0,4.0,2.0,0.0,0.0,0.0,550.76948196458,47.0,16.0,136.0,9353.0,1.0,37.0,2.0
32.0,3.0,0.0,0.0,0.0,0.0,207.24080718683567,2.0,35.0,1.0,1962.0,1.0,43.0,1.0
30.0,3.0,2.0,3.0,0.0,0.0,560.1828860119119,27.0,42.0,91.0,10676.0,1.0,41.0,1.0
34.0,3.0,0.0,0.0,0.0,0.0,577.5681159247769,14.0,66.0,25.0,3255.0,1.0,21.0,1.0
16.0,1.0,1.0,0.0,0.0,0.0,609.1712043143002,43.0,93.0,93.0,2748.0,1.0,35.0,2.0
16.0,1.0,2.0,3.0,0.0,0.0,319.1436642179136,18.0,1.0,93.0,7694.0,1.0,20.0,1.0
42.0,4.0,1.0,0.0,0.0,0.0,274.7230858683161,23.0,0.0,104.0,7338.0,1.0,34.0,1.0
44.0,4.0,5.0,1.0,0.0,0.0,50.88525427387369,23.0,2.0,57.0,2132.0,1.0,35.0,1.0
23.0,2.0,12.0,3.0,0.0,0.0,224.73799199733426,36.0,2.0,116.0,5760.0,1.0,34.0,1.0
22.0,2.0,0.0,0.0,0.0,1.0,157.22021923024155,5.0,47.0,207.0,443.0,1.0,20.0,1.0
35.0,4.0,1.0,0.0,0.0,0.0,140.96099166265518,38.0,19.0,73.0,4879.0,1.0,31.0,1.0
23.0,2.0,2.0,0.0,0.0,1.0,73.46182781034709,56.0,1.0,106.0,8512.0,1.0,42.0,1.0
26.0,3.0,3.0,0.0,0.0,0.0,314.2016172966475,25.0,39.0,98.0,4289.0,1.0,34.0,1.0
26.0,3.0,0.0,0.0,0.0,0.0,20.739075368353866,1.0,0.0,7.0,968.0,1.0,17.0,1.0
38.0,4.0,0.0,0.0,0.0,0.0,907.811464785549,9.0,240.0,25.0,1776.0,1.0,25.0,1.0
28.0,3.0,1.0,0.0,0.0,0.0,120.69652610424625,21.0,19.0,73.0,4354.0,1.0,30.0,1.0
29.0,3.0,14.0,0.0,0.0,0.0,91.9018439623713,4.0,57.0,11.0,152.0,1.0,38.0,1.0
21.0,2.0,2.0,0.0,0.0,1.0,292.41072581642544,16.0,11.0,128.0,12839.0,1.0,32.0,1.0
38.0,4.0,6.0,1.0,0.0,0.0,323.4274384417361,54.0,66.0,143.0,6441.0,1.0,31.0,1.0
24.0,2.0,11.0,0.0,0.0,0.0,811.3277530293158,30.0,15.0,118.0,7743.0,1.0,31.0,1.0
30.0,3.0,3.0,0.0,0.0,0.0,37.09909861577357,10.0,2.0,16.0,81.0,1.0,19.0,1.0
35.0,4.0,15.0,3.0,0.0,0.0,69.43773076399125,8.0,56.0,64.0,2179.0,1.0,36.0,1.0
34.0,4.0,9.0,4.0,0.0,1.0,1802.5149811471963,29.0,349.0,79.0,6811.0,1.0,34.0,1.0
44.0,4.0,0.0,0.0,0.0,0.0,2.3753244236819224,9.0,0.0,49.0,2367.0,1.0,25.0,1.0
34.0,4.0,0.0,0.0,0.0,0.0,50.813542655494054,10.0,0.0,42.0,2004.0,1.0,30.0,1.0
30.0,3.0,10.0,3.0,0.0,0.0,1428.4279509334694,51.0,68.0,107.0,12801.0,1.0,41.0,1.0
31.0,3.0,0.0,0.0,0.0,0.0,54.25222381925538,3.0,11.0,167.0,19.0,1.0,34.0,1.0
22.0,2.0,0.0,0.0,0.0,0.0,102.77312131455693,0.0,6.0,18.0,1461.0,1.0,31.0,1.0
34.0,3.0,0.0,0.0,0.0,0.0,139.92232920249623,18.0,44.0,18.0,963.0,1.0,43.0,1.0
31.0,3.0,1.0,1.0,0.0,0.0,932.8971855126506,29.0,33.0,84.0,3217.0,1.0,41.0,1.0
24.0,2.0,1.0,0.0,0.0,0.0,4.864928243319131,4.0,1.0,23.0,63.0,1.0,33.0,1.0
33.0,3.0,11.0,10.0,1.0,0.0,1467.787225281173,79.0,85.0,195.0,16867.0,2.0,29.0,1.0
41.0,4.0,0.0,0.0,0.0,0.0,33.874565459756056,5.0,15.0,167.0,335.0,1.0,41.0,1.0
25.0,2.0,18.0,3.0,1.0,0.0,456.8241826663046,51.0,49.0,185.0,11931.0,1.0,41.0,2.0
25.0,2.0,10.0,1.0,0.0,0.0,628.8311619539877,48.0,40.0,159.0,6966.0,1.0,27.0,1.0
28.0,3.0,1.0,0.0,0.0,0.0,873.7059365025839,30.0,88.0,62.0,1833.0,1.0,31.0,2.0
22.0,2.0,0.0,0.0,0.0,0.0,2.5576371259888115,4.0,1.0,137.0,71.0,1.0,33.0,1.0
44.0,4.0,23.0,10.0,0.0,0.0,1823.3374684695737,87.0,417.0,210.0,12263.0,1.0,41.0,2.0
40.0,4.0,4.0,1.0,0.0,1.0,1132.320189140834,46.0,37.0,118.0,10971.0,1.0,47.0,1.0
31.0,3.0,3.0,1.0,0.0,0.0,13.147880387961857,12.0,10.0,1.0,537.0,1.0,31.0,1.0
38.0,4.0,2.0,1.0,0.0,0.0,88.08700295097401,15.0,12.0,62.0,2969.0,1.0,30.0,1.0
22.0,2.0,7.0,1.0,0.0,1.0,1334.905880367435,17.0,238.0,65.0,2960.0,1.0,24.0,1.0
28.0,3.0,0.0,1.0,0.0,0.0,6.311454558831527,4.0,0.0,99.0,110.0,1.0,33.0,1.0
