Age,Age Group,Call Failure,Charge Amount,Churn,Complains,Customer Value,Distinct Called Numbers,Frequency of SMS,Frequency of use,Seconds of Use,Status,Subscription Length,Tariff Plan
29.0,3.0,5.0,1.0,0.0,0.0,933.0637779946433,55.0,46.0,86.0,6533.0,1.0,37.0,1.0
34.0,3.0,0.0,1.0,0.0,0.0,142.8895000515249,37.0,18.0,70.0,2193.0,1.0,33.0,1.0
30.0,3.0,13.0,1.0,0.0,0.0,662.0774093684824,36.0,64.0,92.0,4613.0,1.0,33.0,1.0
22.0,2.0,0.0,0.0,0.0,0.0,132.42829184862515,0.0,0.0,29.0,1828.0,1.0,19.0,1.0
30.0,3.0,0.0,0.0,0.0,1.0,22.834671991318093,93.0,0.0,215.0,530.0,1.0,17.0,1.0
30.0,3.0,0.0,1.0,0.0,0.0,291.16186132525775,10.0,88.0,14.0,1167.0,1.0,21.0,1.0
20.0,1.0,1.0,3.0,0.0,1.0,457.31492650943835,11.0,7.0,21.0,3693.0,1.0,26.0,1.0
24.0,2.0,0.0,0.0,0.0,0.0,161.85859750750004,16.0,18.0,61.0,2623.0,1.0,35.0,1.0
22.0,2.0,4.0,0.0,0.0,0.0,566.4341876213081,27.0,58.0,116.0,4767.0,1.0,37.0,1.0
24.0,2.0,0.0,2.0,0.0,0.0,227.8178741735351,42.0,14.0,84.0,3444.0,1.0,20.0,1.0
27.0,5.0,2.0,2.0,0.0,0.0,1115.1707900755584,25.0,50.0,107.0,8571.0,1.0,27.0,1.0
33.0,3.0,5.0,2.0,0.0,0.0,383.79107417763134,38.0,48.0,72.0,5261.0,1.0,36.0,1.0
24.0,2.0,0.0,0.0,0.0,0.0,116.18958664717513,6.0,0.0,129.0,1072.0,1.0,42.0,1.0
23.0,2.0,1.0,0.0,0.0,0.0,92.95854244726543,10.0,18.0,213.0,247.0,1.0,22.0,1.0
24.0,2.0,1.0,0.0,0.0,0.0,19.368127111964547,5.0,1.0,7.0,55.0,1.0,33.0,1.0
34.0,3.0,3.0,1.0,0.0,0.0,582.7808165530797,36.0,43.0,83.0,6359.0,1.0,46.0,1.0
36.0,3.0,1.0,0.0,0.0,0.0,55.10838573571555,14.0,2.0,61.0,2650.0,1.0,34.0,1.0
34.0,3.0,3.0,0.0,0.0,0.0,25.645631207977566,5.0,0.0,34.0,864.0,1.0,11.0,1.0
30.0,3.0,5.0,0.0,0.0,0.0,31.227143492218502,23.0,1.0,17.0,708.0,1.0,31.0,1.0
27.0,2.0,0.0,0.0,0.0,1.0,19.828290842156527,4.0,0.0,149.0,76.0,1.0,43.0,1.0
34.0,3.0,2.0,0.0,0.0,0.0,42.5483003060546,8.0,23.0,217.0,8.0,1.0,17.0,1.0
34.0,3.0,3.0,0.0,0.0,0.0,1274.9071621690437,31.0,141.0,118.0,5014.0,1.0,39.0,2.0
32.0,3.0,10.0,8.0,0.0,0.0,375.61782101826884,81.0,3.0,116.0,9504.0,1.0,39.0,1.0
41.0,4.0,1.0,1.0,0.0,0.0,240.0434684215559,26.0,24.0,64.0,3083.0,1.0,43.0,1.0
32.0,3.0,0.0,0.0,0.0,0.0,75.8211747704196,9.0,18.0,241.0,578.0,1.0,30.0,1.0
31.0,3.0,0.0,0.0,0.0,0.0,40.37220749911417,2.0,5.0,157.0,311.0,1.0,37.0,1.0
42.0,4.0,15.0,2.0,0.0,0.0,60.64076289813677,87.0,2.0,148.0,12434.0,1.0,39.0,2.0
35.0,3.0,0.0,1.0,0.0,0.0,57.982973552804275,3.0,1.0,116.0,616.0,1.0,25.0,1.0
20.0,1.0,5.0,1.0,0.0,0.0,167.53957001127088,27.0,14.0,75.0,3891.0,1.0,26.0,1.0
34.0,3.0,0.0,0.0,0.0,0.0,84.85368849856839,9.0,1.0,70.0,2621.0,1.0,35.0,1.0
33.0,3.0,4.0,4.0,0.0,1.0,71.66586456940729,20.0,1.0,123.0,6415.0,1.0,31.0,1.0
50.0,5.0,10.0,4.0,0.0,0.0,1656.4316597832062,40.0,198.0,146.0,11048.0,1.0,43.0,1.0
23.0,2.0,22.0,2.0,0.0,0.0,259.33348904880313,52.0,53.0,148.0,5383.0,1.0,27.0,2.0
26.0,2.0,3.0,0.0,0.0,0.0,417.5490424657659,50.0,5.0,133.0,5966.0,1.0,38.0,2.0
30.0,3.0,4.0,2.0,0.0,0.0,870.2363526571911,11.0,140.0,116.0,5070.0,1.0,36.0,2.0
38.0,4.0,2.0,0.0,0.0,0.0,493.21293315210755,38.0,36.0,123.0,6114.0,1.0,38.0,1.0
24.0,2.0,1.0,0.0,0.0,0.0,1303.851325631531,23.0,119.0,78.0,5245.0,1.0,14.0,1.0
25.0,2.0,0.0,0.0,0.0,0.0,1087.8165019716344,24.0,19.0,124.0,4688.0,1.0,15.0,1.0
24.0,2.0,0.0,0.0,0.0,0.0,9.647302206483806,4.0,0.0,151.0,25.0,1.0,30.0,1.0
26.0,2.0,3.0,1.0,0.0,0.0,44.386902690883005,19.0,0.0,92.0,6037.0,1.0,35.0,1.0
27.0,2.0,0.0,1.0,0.0,0.0,295.4828999910892,17.0,38.0,44.0,2198.0,1.0,18.0,2.0
42.0,4.0,4.0,0.0,0.0,0.0,194.8160034636642,44.0,3.0,66.0,1980.0,1.0,34.0,1.0
31.0,3.0,2.0,2.0,0.0,0.0,648.4692953871796,6.0,112.0,25.0,2872.0,1.0,40.0,1.0
31.0,3.0,12.0,4.0,0.0,0.0,661.8825724490052,35.0,46.0,127.0,7655.0,1.0,41.0,1.0
27.0,2.0,0.0,0.0,0.0,1.0,637.9066184483746,14.0,98.0,32.0,1746.0,1.0,29.0,1.0
37.0,4.0,2.0,4.0,0.0,0.0,1069.9281664994137,28.0,163.0,77.0,5946.0,1.0,43.0,1.0
31.0,3.0,4.0,1.0,0.0,1.0,541.0443388801565,45.0,13.0,136.0,5993.0,1.0,27.0,1.0
46.0,4.0,7.0,7.0,0.0,0.0,2123.0811941648594,33.0,224.0,154.0,4386.0,1.0,40.0,1.0
19.0,1.0,1.0,0.0,0.0,0.0,132.41884750541905,10.0,100.0,4.0,873.0,1.0,16.0,1.0
28.0,3.0,1.0,0.0,0.0,0.0,17.58447663042418,9.0,6.0,130.0,419.0,1.0,44.0,1.0
33.0,3.0,0.0,0.0,0.0,1.0,53.11787799203648,42.0,33.0,28.0,249.0,1.0,24.0,1.0
31.0,3.0,9.0,4.0,0.0,0.0,684.3871895910353,37.0,84.0,150.0,13292.0,1.0,40.0,2.0
30.0,3.0,0.0,0.0,0.0,0.0,65.22992223621789,8.0,21.0,91.0,396.0,1.0,19.0,1.0
27.0,2.0,3.0,2.0,0.0,0.0,159.78554194767037,29.0,2.0,114.0,6855.0,1.0,45.0,2.0
35.0,3.0,1.0,0.0,0.0,0.0,452.68606174441595,2.0,197.0,0.0,991.0,1.0,32.0,1.0
32.0,3.0,3.0,1.0,0.0,0.0,11.422910729715554,17.0,0.0,39.0,1680.0,1.0,14.0,1.0
25.0,2.0,0.0,0.0,0.0,0.0,150.0676991929193,3.0,17.0,160.0,579.0,1.0,21.0,1.0
37.0,4.0,4.0,1.0,0.0,0.0,63.35130391260349,22.0,24.0,82.0,2863.0,1.0,43.0,1.0
28.0,3.0,4.0,0.0,0.0,1.0,149.0849494906461,27.0,2.0,78.0,3660.0,1.0,33.0,1.0
18.0,1.0,1.0,0.0,0.0,0.0,118.5265542180852,13.0,0.0,4.0,1551.0,1.0,24.0,1.0
24.0,5.0,0.0,0.0,0.0,0.0,290.2521288241874,1.0,87.0,26.0,820.0,1.0,28.0,1.0
27.0,2.0,1.0,0.0,0.0,0.0,782.5002753833423,19.0,143.0,86.0,10142.0,1.0,26.0,1.0
24.0,2.0,1.0,0.0,0.0,1.0,200.95952294683175,5.0,52.0,39.0,1337.0,1.0,25.0,1.0
