Age,Age Group,Call Failure,Charge Amount,Churn,Complains,Customer Value,Distinct Called Numbers,Frequency of SMS,Frequency of use,Seconds of Use,Status,Subscription Length,Tariff Plan
45.0,4.0,5.0,6.0,0.0,0.0,1835.168251877041,80.0,294.0,166.0,8950.0,1.0,34.0,1.0
27.0,2.0,18.0,4.0,0.0,0.0,88.76721988447473,45.0,10.0,114.0,6731.0,1.0,27.0,1.0
19.0,1.0,1.0,2.0,0.0,0.0,26.11974890244799,9.0,6.0,19.0,1283.0,1.0,31.0,1.0
33.0,3.0,0.0,0.0,0.0,0.0,285.72214760277626,25.0,9.0,81.0,2970.0,1.0,40.0,1.0
33.0,3.0,5.0,4.0,0.0,0.0,473.38017728372307,51.0,34.0,149.0,13838.0,2.0,30.0,1.0
23.0,2.0,1.0,0.0,0.0,0.0,43.73146978234208,13.0,11.0,13.0,2826.0,1.0,37.0,1.0
31.0,3.0,6.0,0.0,0.0,0.0,180.963463187161,14.0,27.0,29.0,1206.0,1.0,43.0,1.0
27.0,2.0,4.0,0.0,0.0,0.0,1324.3471186859701,11.0,220.0,73.0,3914.0,1.0,39.0,1.0
38.0,4.0,0.0,0.0,0.0,0.0,8.917798724861127,6.0,0.0,32.0,218.0,1.0,28.0,1.0
35.0,3.0,1.0,0.0,0.0,0.0,73.34298934689501,6.0,21.0,16.0,250.0,1.0,16.0,2.0
30.0,3.0,1.0,0.0,0.0,0.0,19.363087459200553,9.0,9.0,27.0,296.0,1.0,21.0,1.0
36.0,3.0,0.0,1.0,0.0,0.0,158.20371963759567,6.0,82.0,17.0,774.0,1.0,11.0,1.0
25.0,2.0,0.0,0.0,0.0,1.0,213.2923905414673,48.0,31.0,166.0,4084.0,1.0,33.0,2.0
25.0,2.0,3.0,0.0,0.0,0.0,307.4586333299793,21.0,36.0,89.0,8149.0,1.0,42.0,1.0
30.0,3.0,10.0,0.0,0.0,1.0,22.139284289702218,16.0,1.0,78.0,2694.0,1.0,25.0,1.0
43.0,4.0,2.0,0.0,0.0,0.0,100.16595310523371,7.0,3.0,40.0,1762.0,1.0,22.0,1.0
21.0,2.0,1.0,1.0,0.0,0.0,431.4005313634019,19.0,83.0,2.0,793.0,1.0,22.0,1.0
26.0,2.0,2.0,0.0,0.0,0.0,144.62228864147073,29.0,10.0,66.0,647.0,1.0,35.0,1.0
24.0,2.0,4.0,1.0,0.0,1.0,116.26772470539872,33.0,1.0,121.0,3451.0,1.0,44.0,1.0
33.0,3.0,20.0,2.0,0.0,0.0,678.5845874953126,32.0,287.0,112.0,7969.0,1.0,43.0,2.0
35.0,3.0,8.0,6.0,0.0,0.0,166.49725929692528,61.0,7.0,127.0,6783.0,1.0,30.0,1.0
22.0,2.0,0.0,0.0,0.0,0.0,35.10536176422509,10.0,1.0,7.0,1259.0,1.0,38.0,1.0
46.0,4.0,16.0,8.0,0.0,0.0,764.8263291425028,37.0,66.0,227.0,9108.0,1.0,42.0,1.0
