Age,Age Group,Call Failure,Charge Amount,Churn,Complains,Customer Value,Distinct Called Numbers,Frequency of SMS,Frequency of use,Seconds of Use,Status,Subscription Length,Tariff Plan
32.0,3.0,1.0,2.0,0.0,1.0,646.3571719809582,18.0,226.0,56.0,3327.0,1.0,33.0,1.0
24.0,5.0,2.0,1.0,0.0,0.0,572.7125199876383,41.0,13.0,178.0,9160.0,1.0,36.0,1.0
18.0,1.0,1.0,1.0,0.0,0.0,90.38514747707347,12.0,3.0,61.0,1957.0,1.0,20.0,1.0
34.0,3.0,3.0,4.0,0.0,0.0,29.912503761942,41.0,0.0,112.0,6756.0,1.0,26.0,1.0
45.0,4.0,1.0,0.0,0.0,1.0,47.093844705069166,7.0,7.0,232.0,797.0,1.0,28.0,1.0
23.0,2.0,1.0,0.0,0.0,1.0,54.38292214630742,9.0,25.0,30.0,957.0,1.0,33.0,1.0
23.0,2.0,0.0,1.0,0.0,0.0,702.2037024619917,14.0,60.0,75.0,3915.0,1.0,36.0,1.0
36.0,3.0,1.0,0.0,0.0,1.0,170.19133515890547,26.0,31.0,70.0,2459.0,1.0,38.0,1.0
29.0,3.0,2.0,0.0,0.0,0.0,67.19894392390262,29.0,2.0,93.0,3368.0,1.0,44.0,1.0
19.0,5.0,3.0,2.0,0.0,0.0,33.09184667825982,27.0,1.0,117.0,4379.0,1.0,42.0,1.0
17.0,3.0,1.0,0.0,0.0,1.0,74.07043637759084,16.0,2.0,66.0,4130.0,1.0,18.0,1.0
30.0,3.0,1.0,2.0,0.0,0.0,104.31679346855212,6.0,1.0,56.0,3032.0,1.0,37.0,1.0
21.0,2.0,8.0,0.0,0.0,0.0,1261.4269381376,29.0,161.0,103.0,5721.0,1.0,33.0,1.0
29.0,3.0,10.0,2.0,0.0,0.0,277.11182195167646,23.0,52.0,35.0,1339.0,1.0,34.0,1.0
22.0,2.0,2.0,0.0,0.0,0.0,67.70077346347921,27.0,1.0,106.0,5243.0,1.0,32.0,1.0
27.0,3.0,1.0,1.0,0.0,0.0,238.9642480132818,26.0,7.0,87.0,6391.0,1.0,23.0,1.0
39.0,4.0,1.0,0.0,0.0,1.0,100.93774199899784,17.0,0.0,106.0,10710.0,1.0,24.0,1.0
40.0,4.0,1.0,0.0,0.0,1.0,919.4143497396987,11.0,239.0,71.0,5557.0,1.0,26.0,1.0
22.0,2.0,3.0,1.0,0.0,0.0,6.3721349611944245,9.0,0.0,126.0,141.0,1.0,29.0,1.0
32.0,3.0,1.0,0.0,0.0,0.0,51.225495592000605,4.0,13.0,163.0,452.0,1.0,42.0,1.0
32.0,3.0,3.0,5.0,0.0,0.0,368.567658650825,36.0,26.0,93.0,5132.0,1.0,34.0,1.0
23.0,2.0,2.0,0.0,0.0,0.0,21.726703190969815,10.0,0.0,126.0,211.0,1.0,28.0,1.0
42.0,4.0,28.0,1.0,0.0,0.0,413.6291980356647,41.0,13.0,138.0,9844.0,1.0,27.0,1.0
25.0,2.0,4.0,1.0,0.0,0.0,329.3954654301579,42.0,3.0,105.0,8891.0,1.0,45.0,1.0
27.0,3.0,0.0,4.0,0.0,0.0,63.50133308424403,3.0,122.0,158.0,81.0,1.0,26.0,1.0
28.0,3.0,0.0,1.0,0.0,0.0,37.315513830560334,9.0,0.0,22.0,1333.0,1.0,18.0,1.0
33.0,5.0,3.0,2.0,0.0,0.0,921.2599036010924,48.0,164.0,87.0,11815.0,1.0,35.0,1.0
37.0,3.0,2.0,0.0,0.0,0.0,626.4041853515901,62.0,52.0,149.0,12568.0,1.0,24.0,2.0
38.0,4.0,1.0,0.0,0.0,1.0,4.02984248500433,9.0,0.0,3.0,183.0,1.0,38.0,1.0
34.0,3.0,5.0,1.0,0.0,0.0,227.71383506198583,21.0,4.0,163.0,8500.0,1.0,32.0,1.0
27.0,3.0,14.0,0.0,0.0,0.0,132.57140032107552,8.0,4.0,62.0,1490.0,1.0,41.0,1.0
19.0,1.0,0.0,0.0,0.0,1.0,354.05937801083985,11.0,6.0,55.0,3827.0,1.0,25.0,1.0
27.0,3.0,10.0,4.0,0.0,0.0,126.86254238549125,15.0,29.0,36.0,2361.0,1.0,45.0,1.0
18.0,1.0,7.0,0.0,0.0,0.0,68.7445991429315,21.0,22.0,31.0,958.0,1.0,14.0,1.0
21.0,2.0,4.0,1.0,0.0,0.0,222.94318032306646,36.0,1.0,154.0,8521.0,1.0,43.0,1.0
31.0,3.0,11.0,1.0,0.0,0.0,41.52636023048059,63.0,0.0,160.0,9600.0,1.0,36.0,1.0
42.0,4.0,0.0,0.0,0.0,0.0,296.61425882706,18.0,3.0,63.0,5788.0,1.0,36.0,1.0
18.0,1.0,0.0,0.0,0.0,0.0,3.3676784321695385,4.0,2.0,185.0,152.0,1.0,26.0,1.0
26.0,2.0,1.0,2.0,0.0,0.0,140.22578795920745,8.0,3.0,58.0,5181.0,1.0,36.0,1.0
35.0,3.0,1.0,0.0,0.0,0.0,965.8852985538884,23.0,185.0,85.0,3475.0,1.0,45.0,1.0
30.0,3.0,1.0,1.0,0.0,0.0,70.72847822009044,23.0,81.0,3.0,1212.0,1.0,14.0,1.0
32.0,3.0,1.0,0.0,0.0,0.0,583.4338602573378,28.0,23.0,97.0,10024.0,1.0,35.0,1.0
22.0,2.0,1.0,0.0,0.0,0.0,1.209241138789448,18.0,1.0,12.0,804.0,1.0,21.0,1.0
22.0,2.0,2.0,0.0,0.0,1.0,442.05452185379573,20.0,21.0,47.0,4016.0,1.0,31.0,1.0
34.0,3.0,3.0,1.0,1.0,0.0,919.6099581489126,41.0,21.0,131.0,13060.0,1.0,36.0,1.0
35.0,3.0,3.0,0.0,0.0,0.0,570.8340912222494,18.0,40.0,98.0,4538.0,1.0,33.0,1.0
23.0,2.0,5.0,2.0,0.0,0.0,30.6540084454105,19.0,6.0,61.0,1920.0,1.0,28.0,1.0
20.0,1.0,0.0,0.0,0.0,0.0,218.85800696190196,6.0,24.0,8.0,689.0,1.0,38.0,1.0
27.0,3.0,1.0,0.0,0.0,0.0,313.4446702195155,15.0,4.0,110.0,4302.0,1.0,30.0,1.0
34.0,3.0,1.0,1.0,0.0,0.0,160.56322610728083,24.0,8.0,53.0,4947.0,1.0,20.0,1.0
20.0,1.0,0.0,0.0,0.0,1.0,43.66493181580414,3.0,22.0,31.0,1739.0,1.0,20.0,1.0
44.0,4.0,2.0,0.0,0.0,0.0,157.43897977017102,24.0,4.0,64.0,4419.0,1.0,30.0,1.0
22.0,2.0,0.0,0.0,0.0,0.0,149.4316787513173,22.0,14.0,100.0,2116.0,1.0,25.0,1.0
28.0,3.0,2.0,0.0,0.0,0.0,473.6141324239642,36.0,20.0,138.0,5612.0,1.0,31.0,1.0
28.0,3.0,2.0,1.0,0.0,0.0,291.798054538465,13.0,22.0,20.0,1531.0,1.0,23.0,1.0
28.0,3.0,2.0,0.0,0.0,0.0,853.2145096291015,57.0,14.0,156.0,14420.0,1.0,21.0,1.0
25.0,2.0,4.0,0.0,0.0,0.0,232.08744198834947,35.0,32.0,71.0,3527.0,1.0,25.0,1.0
20.0,2.0,2.0,0.0,0.0,1.0,0.843479158737071,44.0,0.0,102.0,392.0,1.0,25.0,1.0
30.0,3.0,9.0,2.0,0.0,0.0,351.728678420972,25.0,49.0,115.0,8170.0,1.0,29.0,1.0
40.0,4.0,4.0,0.0,0.0,1.0,1546.6728059100258,64.0,126.0,220.0,3367.0,1.0,24.0,1.0
21.0,2.0,0.0,5.0,0.0,0.0,729.8645750551763,19.0,15.0,66.0,2579.0,1.0,29.0,1.0
33.0,3.0,0.0,0.0,0.0,0.0,11.035897299684514,8.0,2.0,178.0,851.0,1.0,35.0,1.0
18.0,1.0,2.0,0.0,0.0,0.0,202.23430707378802,16.0,19.0,14.0,136.0,1.0,42.0,1.0
28.0,3.0,2.0,0.0,0.0,0.0,306.89261648082754,13.0,3.0,55.0,4247.0,1.0,20.0,1.0
23.0,2.0,2.0,0.0,0.0,0.0,65.20806641021285,19.0,2.0,59.0,587.0,1.0,41.0,1.0
34.0,3.0,1.0,1.0,0.0,0.0,281.11100067879715,7.0,129.0,52.0,1759.0,1.0,40.0,1.0
20.0,1.0,1.0,0.0,0.0,0.0,394.59718738748745,3.0,55.0,7.0,799.0,1.0,12.0,1.0
22.0,2.0,7.0,1.0,0.0,0.0,329.683867240985,17.0,9.0,85.0,1849.0,1.0,24.0,1.0
31.0,3.0,1.0,0.0,0.0,0.0,704.9659390209281,27.0,143.0,110.0,5489.0,1.0,31.0,1.0
26.0,3.0,6.0,0.0,0.0,0.0,291.6578946916816,15.0,7.0,80.0,2764.0,1.0,40.0,1.0
19.0,1.0,0.0,0.0,0.0,0.0,0.6787960284698914,2.0,2.0,162.0,365.0,1.0,20.0,1.0
33.0,3.0,2.0,1.0,0.0,0.0,560.7466536278614,18.0,9.0,163.0,8589.0,1.0,34.0,1.0
26.0,2.0,1.0,0.0,0.0,1.0,12.346615614471766,68.0,25.0,48.0,174.0,1.0,26.0,1.0
35.0,3.0,0.0,0.0,1.0,0.0,433.06162926354756,19.0,5.0,53.0,2476.0,1.0,19.0,1.0
24.0,2.0,0.0,0.0,0.0,0.0,17.8446530954456,19.0,1.0,106.0,234.0,1.0,26.0,1.0
17.0,3.0,1.0,1.0,0.0,0.0,30.983894241273404,14.0,9.0,62.0,1601.0,1.0,27.0,2.0
27.0,3.0,2.0,4.0,0.0,0.0,346.1230674781663,14.0,8.0,42.0,3580.0,1.0,38.0,1.0
29.0,3.0,0.0,0.0,1.0,0.0,128.7914495473789,47.0,27.0,55.0,2615.0,1.0,39.0,1.0
17.0,3.0,1.0,1.0,0.0,0.0,130.39670732160283,37.0,4.0,169.0,5006.0,1.0,40.0,1.0
25.0,2.0,1.0,0.0,0.0,0.0,15.77342855869588,6.0,2.0,50.0,2427.0,1.0,25.0,1.0
34.0,3.0,0.0,0.0,0.0,1.0,588.2153800247777,24.0,28.0,107.0,7249.0,1.0,26.0,1.0
39.0,4.0,17.0,2.0,0.0,1.0,478.8762584833195,55.0,74.0,134.0,8304.0,1.0,32.0,1.0
39.0,4.0,1.0,0.0,0.0,1.0,51.06327527900018,2.0,79.0,14.0,148.0,1.0,18.0,2.0
29.0,3.0,3.0,0.0,0.0,0.0,12.698935046034928,25.0,0.0,70.0,2168.0,1.0,39.0,1.0
26.0,2.0,0.0,1.0,0.0,0.0,417.258100896512,19.0,45.0,69.0,2322.0,1.0,29.0,2.0
29.0,3.0,0.0,0.0,0.0,1.0,149.99840157442958,10.0,12.0,31.0,1343.0,1.0,37.0,1.0
