AH,C6H6(GT),CO(GT),NO2(GT),NOx(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),RH,T
1.0990034448290429,3.376089098799424,1.3411618448406266,102.0,190.0,993.0,761.0,882.0,1315.0,970.0,38.674230619809975,22.04581209084862
0.772583578637966,11.118064001457428,3.182827291015258,110.0,248.0,1266.0,1084.0,739.0,1600.0,1580.0,63.05890333104671,11.302076122955258
1.0246643172923255,26.40748785828661,5.646046491537164,179.0,632.0,1549.0,1526.0,409.0,2244.0,2090.0,61.76400660495465,22.357283866594727
1.6396352831608911,11.122843900939309,2.6066886989553084,116.0,364.0,1050.0,1022.0,705.0,1476.0,917.0,37.30520608122367,27.986958389969544
0.4674995060650675,7.19893671093048,2.5958265591379015,151.0,182.0,1160.0,885.0,709.0,769.0,988.0,22.554741224955237,18.875483254442223
1.6400248197980136,16.63310542693331,2.536604247766693,128.0,308.0,1147.0,1121.0,628.0,1739.0,1026.0,41.81921426063046,31.081576928744447
0.6977393942804739,5.6251491454989,0.9742463076622773,85.0,94.0,989.0,869.0,1022.0,1344.0,909.0,43.09089945101362,21.199353222393114
1.0943613706090265,6.555743277685444,0.923212559574282,74.0,140.0,993.0,786.0,809.0,1399.0,742.0,58.56959948012093,14.414638082915777
1.6188118773977818,10.460069760792743,1.9513843865716354,55.0,125.0,1032.0,1043.0,768.0,1571.0,951.0,25.34704264540608,39.49152954830652
1.2914685788486275,13.063877431626606,2.1544673386265947,149.0,275.0,1163.0,1190.0,798.0,1673.0,1177.0,28.551673848033502,37.20687043033416
0.8687249257679512,4.395122545060996,1.3925507475485615,102.0,160.0,773.0,704.0,845.0,1063.0,713.0,44.045869889342185,15.251235651945473
1.1943096475301946,14.005157309462819,3.800455963559388,144.0,425.0,1400.0,1112.0,670.0,1591.0,1119.0,52.278653059873676,17.012161085278635
1.5509110835414777,2.6838153096455533,0.5434817927675201,56.0,40.0,923.0,666.0,1010.0,1538.0,568.0,37.34217448625756,32.95632904645941
1.1616971761643595,3.25039659034493,0.6940448753012897,61.0,41.0,1018.0,697.0,1091.0,1355.0,637.0,44.171172452337345,21.917983789417512
0.6733350005960022,13.97957434342944,5.510016971899899,151.0,488.0,1269.0,1131.0,612.0,1565.0,1772.0,48.64722948938756,8.59789196943895
0.4662450661990436,2.4684344096204898,0.12516962837765536,104.0,90.0,884.0,481.0,1533.0,966.0,459.0,32.5381257875861,2.285593256257007
1.6017278255702536,6.87135260444408,1.4398129475872712,93.0,130.0,1124.0,866.0,714.0,1627.0,703.0,41.49442700963388,22.55496882810958
0.9536189841607878,7.824841399185733,1.1832027020470546,124.0,286.0,1156.0,832.0,634.0,1325.0,1129.0,67.20757758203263,6.498864132672086
0.9380767545646604,7.520273403160866,2.0348591979061594,90.0,174.0,1199.0,871.0,812.0,1521.0,1076.0,54.47662659488395,16.210107680554437
1.2198962708551753,2.9987206498283774,0.40348779332812273,48.0,41.0,1008.0,614.0,835.0,1261.0,726.0,53.95975954461232,14.599678447590852
0.8907592784383567,12.024750790108154,1.991978880881976,96.0,150.0,1100.0,1031.0,847.0,1615.0,1089.0,33.77994125419347,22.569121110657008
1.5373933667038384,21.054391422392275,2.471365842172037,130.0,205.0,1155.0,1456.0,631.0,1859.0,1142.0,29.844685730662317,39.42908277824825
1.1050827455423364,11.495133417244414,2.6110734710568733,121.0,286.0,1132.0,1195.0,790.0,1644.0,1087.0,69.09142773226809,18.811477065641128
0.7737583606131697,5.9250667787369595,1.2038449024672162,113.0,148.0,1029.0,815.0,787.0,1390.0,1070.0,57.134412168227186,13.306650958919592
1.1045173379977247,6.595877460800314,0.8781323468618052,125.0,212.0,1033.0,785.0,698.0,1225.0,1069.0,53.37331773211865,15.86336087594991
0.36710418956125457,7.279402744210953,2.0959239931180322,119.0,178.0,1321.0,895.0,645.0,1225.0,1317.0,38.78239000480856,8.724556678434285
0.7880705120842368,18.11558664153577,4.562312346200038,153.0,1127.0,1283.0,1115.0,549.0,1411.0,1693.0,55.377328905751895,13.489695919815697
1.7039067470728912,6.363227973961257,1.3105402742262668,70.0,214.0,1026.0,930.0,772.0,1616.0,933.0,83.79268804055492,17.19679096008077
0.9916348403262296,6.4609055988960264,1.327180986811965,52.0,16.0,936.0,835.0,996.0,1479.0,543.0,33.448274554195294,22.43231182845753
1.0199133794898485,9.445539176064669,2.1640255119010425,133.0,220.0,1114.0,932.0,701.0,1637.0,1033.0,44.62471882995599,22.08686158959172
1.1592463712858223,11.19909345242643,2.9905647811879437,88.0,152.0,1400.0,1180.0,670.0,1782.0,1588.0,51.27733203487524,22.50893906223653
0.4922717349792689,10.262014670176534,2.6752303626340255,198.0,503.0,1029.0,983.0,608.0,715.0,1418.0,49.94948282006651,5.514309069094642
1.1512526717255975,15.168599060090983,2.6485894797403993,140.0,171.0,1334.0,1176.0,698.0,1935.0,1264.0,33.99588491484249,25.12168914008617
1.639200791254403,17.49581728069511,4.266158484509027,128.0,146.0,1241.0,1356.0,619.0,2138.0,1392.0,38.635049352511864,35.37587719093467
1.1376388839417324,18.397887206730992,2.8329562358166704,116.0,272.0,1186.0,1306.0,655.0,1714.0,1131.0,49.640988767373074,23.2975261678113
0.8265525070646438,16.404699610437586,2.449809280482757,163.0,233.0,1313.0,1285.0,640.0,1714.0,1822.0,43.06298407427904,33.103886698610786
0.7412849211050658,25.351902992311533,4.226373902078187,193.0,982.0,1494.0,1268.0,499.0,1622.0,2223.0,57.30722527394934,8.511411744386828
0.8712311551361462,9.864163769871334,2.8629882682886714,101.0,115.0,1041.0,940.0,1008.0,1647.0,1069.0,23.59303570594658,24.253979675603517
0.5954938523810063,4.123357634168131,1.0810948186241094,89.0,104.0,750.0,647.0,1061.0,1177.0,247.0,71.7759079077803,4.910062164674683
0.9006376812989816,15.855294607189807,3.4155428870734297,207.0,526.0,1399.0,1314.0,559.0,1408.0,1562.0,69.68105239063564,11.304070260112903
0.6498088484548905,6.804860614864971,1.9604677164888957,117.0,117.0,1211.0,957.0,902.0,1476.0,1430.0,37.54201521540131,18.313161990891814
1.1054839337887767,27.541185827123485,5.921075137942497,199.0,914.0,1636.0,1518.0,479.0,1812.0,1926.0,54.80698423035021,18.03080587574228
1.4065443885057503,12.36454115487408,2.1494079749247272,95.0,297.0,1048.0,1007.0,616.0,1570.0,1168.0,40.045663577950286,27.445781239536124
1.3186241684679445,6.444255425534437,2.3504993967451506,63.0,156.0,969.0,900.0,857.0,1439.0,771.0,58.27722568644857,15.016617963372079
1.6380613631048166,19.660860376028264,3.416762164930373,203.0,615.0,1333.0,1371.0,636.0,2267.0,1542.0,46.536903727893254,32.11316015714924
0.9496324341036664,7.996923934360978,2.461070496186254,119.0,268.0,1171.0,932.0,693.0,1495.0,1014.0,68.6610725308063,8.336522371776828
0.4988936012729972,12.128782468539987,3.9843129753518793,161.0,316.0,1217.0,1102.0,849.0,1585.0,1127.0,31.730029185504602,13.533145907073257
0.5486681991695905,3.1704073376722897,0.7953252692152257,91.0,61.0,987.0,673.0,997.0,1058.0,717.0,36.74457076428857,12.584108038921427
1.0596265244515128,6.9870967083914755,0.9384447367379878,60.0,52.0,994.0,909.0,873.0,1727.0,1454.0,65.13493177482505,24.7911506155882
0.5732159728744077,8.915872275083986,2.735857806586049,159.0,309.0,1119.0,1069.0,877.0,1338.0,1079.0,39.590902823778734,16.400348386541737
1.2248078247665386,7.322783601572639,1.6658375815130082,81.0,118.0,1010.0,882.0,817.0,1349.0,816.0,42.42146621733229,25.37859223256155
1.6380297767582503,4.6894921692662965,0.5063175866294878,41.0,81.0,931.0,674.0,851.0,1500.0,386.0,29.25146133783301,27.889790702719516
1.535420100453894,4.3001844822760225,0.2412729820915631,66.0,71.0,902.0,674.0,727.0,1425.0,684.0,51.481397947038474,20.494946045761395
0.3040827853310346,9.118440093700405,2.362636930039007,126.0,530.0,1058.0,885.0,786.0,1070.0,1051.0,45.808725768729765,10.54099344109296
1.7731322268305256,27.88022665625795,7.89799362666885,142.0,1006.0,1372.0,1759.0,464.0,1797.0,1719.0,50.45269052791791,28.550118902136028
0.935557709463908,2.513438740929507,0.211742215155452,61.0,51.0,999.0,566.0,1065.0,1346.0,875.0,59.77334737586025,7.990632252783309
0.5682071373673365,8.219772583678486,1.9924859313439396,152.0,487.0,1216.0,851.0,602.0,1004.0,1229.0,60.8455265984295,7.79216877060488
1.389235791671535,7.482761124304642,1.393211697400576,78.0,22.0,1022.0,857.0,636.0,1548.0,641.0,29.24535881281843,25.464176525280436
1.346471101250682,34.94197951324214,3.0615092578411214,166.0,230.0,1228.0,1505.0,642.0,1929.0,1368.0,35.51661518599963,27.096712908769582
1.5210815839436231,22.540270540592836,3.6089351901264553,130.0,176.0,1426.0,1337.0,477.0,1783.0,1366.0,45.969963406746835,30.114435828242115
0.4214396741705797,6.322463520946065,1.2550775878028542,138.0,279.0,933.0,795.0,910.0,569.0,901.0,53.34256316297286,9.439554362776141
1.7931385651521266,11.72859224099651,2.381247197588328,90.0,118.0,1038.0,957.0,784.0,1815.0,762.0,56.8931157551302,24.656120576705646
1.0300669393928008,10.364607527340757,2.623403797344382,106.0,158.0,1168.0,952.0,767.0,1399.0,901.0,54.076981593067764,13.263598951437613
0.90232133611003,9.402569835437454,2.2786815439470707,135.0,544.0,1189.0,973.0,798.0,1183.0,1105.0,68.59980707632249,9.074665393744516
0.21589680653459586,8.8893761626501,1.5692127737111317,82.0,101.0,1013.0,959.0,1023.0,1535.0,987.0,47.317392472362044,16.9614293488871
1.4653551302125443,12.136328801698477,1.7058714299470306,90.0,131.0,1038.0,1082.0,766.0,1673.0,954.0,39.071237708653086,27.021570878763967
1.4845573993128982,23.72590766526028,2.437395332990897,118.0,502.0,1286.0,1395.0,465.0,1655.0,1265.0,55.50822923107955,20.047711173350947
0.2830257579592941,1.0610390573851831,0.7797354171978836,118.0,102.0,715.0,565.0,1303.0,964.0,717.0,45.452189135250336,12.720480961130336
0.6732222272385602,11.18835712733617,3.4067757456165113,127.0,282.0,1154.0,1043.0,666.0,1452.0,1293.0,40.63971957617725,16.27534215750879
1.636968705027021,2.4994768326191883,0.24660607867105994,58.0,43.0,849.0,655.0,916.0,1436.0,602.0,39.941290698810725,28.087110560694093
1.6730938295572437,10.55229623851259,0.8792065947434888,48.0,113.0,1042.0,1051.0,972.0,1887.0,1107.0,73.35584352449045,28.984130942668493
0.6502825811023139,8.534299969683724,4.086545116883466,185.0,404.0,1396.0,1046.0,581.0,1497.0,1289.0,61.29695888643098,2.167780256751829
0.6211701792294246,6.4195353335986995,1.2125888495559431,85.0,22.0,992.0,831.0,1136.0,1391.0,633.0,29.15551122443744,19.625507116439856
0.801593183261817,26.301282590174353,9.03686847115322,248.0,523.0,1363.0,1526.0,553.0,1556.0,1485.0,63.4571142852523,19.199153731700257
0.9060525716562486,12.108611360271768,2.266633678846951,162.0,240.0,1303.0,1077.0,680.0,1469.0,1321.0,41.29623202670407,18.514327571081516
0.3783388609770555,6.500494889567945,2.7708993751832325,148.0,263.0,1057.0,759.0,867.0,1185.0,1082.0,51.24723871048259,42.499654596716184
1.0268440383457305,2.232242892544472,1.1120282079499684,131.0,71.0,951.0,668.0,1003.0,1138.0,496.0,34.546304324860074,19.039232050677818
1.1707535117656451,4.546246279452109,1.049679326240899,61.0,127.0,880.0,773.0,997.0,1311.0,678.0,53.01840968642071,21.806919048323486
1.3440809515823122,11.502343825060649,2.0875878485149926,120.0,226.0,1021.0,1003.0,807.0,1644.0,910.0,56.24825612751332,20.373242653000354
0.8378429067580673,16.040261891656126,5.776087211176594,203.0,516.0,1351.0,1286.0,588.0,1849.0,1519.0,44.869537903658795,19.23422228258022
