X1_house_age,X2_distance_MRT_station,X3_number_convenience_stores,X4_lat,X5_long,X6_price
13.3,0.6419,1.0,24.9748,121.52984,31.3
13.2,0.0708,6.0,24.98298,121.53936,36.4
9.0,10000.2121,3.0,24.97493,121.54464,42.3
9.9,0.7721,4.0,24.98246,121.56,36.7
29.3,0.314,8.0,24.981,121.52981,40.5
42.7,0.3248,6.0,24.9857,121.54069,41.3
35.3,0.3302,6.0,24.9877,121.531,36.5
3.9,0.4618,6.0,24.97293,121.53863,67.7
17.7,0.6419,8.0,24.9652,121.5449,26.5
13.9,0.527,6.0,24.97349,121.54464,41.5
12.8,0.6721,1.0,24.97153,121.54494,42.3
12.7,0.127,6.0,24.9675,121.543,28.5
40.9,0.5273,6.0,24.9655,121.53966,39.7
21.2,0.567,4.0,24.97419,121.53913,36.9
36.6,0.8193,7.0,24.97015,121.54494,38.5
4.0,0.127,3.0,24.9805,121.5372,44.2
6.6,0.419,6.0,24.96427,121.53923,13.7
5.3,0.2289,1.0,24.97519,121.52979,22.5
13.8,0.9292,1.0,24.97349,121.5399,38.6
35.4,0.519,6.0,24.97814,121.52758,48.5
22.8,0.4464,2.0,24.98016,121.54765,55.0
4.0,0.9476,7.0,24.98246,121.54477,49.3
9.9,0.9589,1.0,24.97353,121.53445,35.3
17.5,0.5181,8.0,24.989,121.54308,38.5
7.8,0.5632,6.0,24.97814,121.53966,40.8
37.3,0.8821,8.0,24.97017,121.54477,37.5
27.0,10000.3248,8.0,24.98203,121.54348,23.6
26.8,0.635,6.0,24.98254,121.54017,40.5
4.0,0.129,7.0,24.97635,121.54329,44.3
31.7,0.47302,6.0,24.97945,121.53932,32.4
17.5,0.87,6.0,24.96305,121.534,32.1
15.0,10000.6719,5.0,24.9726,121.54331,27.3
34.7,0.8515,1.0,24.97201,121.54312,44.4
8.0,0.16,8.0,24.97707,121.53923,48.7
13.2,0.0708,7.0,24.98298,121.54026,36.7
3.0,10000.719,2.0,24.9856,121.5373,45.4
33.2,0.6783,2.0,24.98223,121.54026,44.9
38.2,0.012,2.0,24.96412,121.53445,35.7
33.3,0.7721,6.0,24.98118,121.53765,36.6
0.0,0.1329,6.0,24.978,121.54494,35.7
18.0,0.9,6.0,24.96418,121.54485,20.7
41.4,0.3446,6.0,24.9871,121.53981,47.3
20.5,0.631,6.0,24.98092,121.54329,44.3
15.6,0.6977,6.0,24.9838,121.54477,36.8
33.2,0.2854,8.0,24.98223,121.53642,45.9
16.2,0.73,9.0,24.98281,121.539201,44.529
34.0,0.9476,4.0,24.98199,121.54464,32.2
5.6,0.527,6.0,24.98092,121.548,50.0
13.6,0.728,4.0,24.98573,121.53841,48.5
37.0,10000.7016,2.0,24.97577,121.54477,39.4
34.5,0.9455,6.0,24.9845,121.53956,174.3
16.2,0.954,0.0,24.985,121.53439,46.7
14.7,0.8513,1.0,24.97501,121.5273,42.3
24.2,0.5487,8.0,24.98203,121.5417,45.4
6.5,0.7392,4.0,24.98672,121.53751,17.5
34.0,0.9476,4.0,24.9812,121.54464,45.1
17.5,0.6419,8.0,24.96945,121.534,26.5
15.0,10000.5719,1.0,24.95153,121.55175,35.6
37.3,0.7721,8.0,24.98298,121.53471,37.5
11.9,0.3302,6.0,24.9663,121.5431,39.3
16.9,0.6419,10.0,24.9814,121.54026,64.5
16.0,10000.3248,5.0,24.98203,121.54348,44.3
37.2,0.1334,1.0,24.975,121.53445,37.9
16.4,0.6912,6.0,24.98059,121.53986,40.5
31.4,0.8515,1.0,24.971,121.52984,37.5
17.6,0.5273,6.0,24.96305,121.54308,47.1
12.8,0.8515,6.0,24.97707,121.54713,36.5
13.6,0.6912,6.0,24.9764,121.53923,48.0
1.9,0.6977,4.0,24.9638,121.54436,67.5
15.2,0.2854,8.0,24.98223,121.534,17.2
17.4,0.6957,5.0,24.9675,121.53451,40.5
37.3,0.3446,0.0,24.97349,121.53471,37.4
6.5,0.919,6.0,24.97814,121.53913,36.3
3.6,0.6921,6.0,24.9858,121.54494,43.8
27.0,10000.3248,2.0,24.98203,121.54477,23.5
9.0,10000.7233,2.0,24.98407,121.534,35.3
11.0,0.723,6.0,24.96398,121.54477,49.3
12.2,0.3248,5.0,24.98203,121.54348,55.0
0.0,0.718,2.0,24.96731,121.54477,48.7
18.0,10000.315,6.0,24.9817,121.53713,36.5
6.6,0.219,6.0,24.96303,121.53812,21.3
2.6,0.3302,6.0,24.96581,121.54086,45.1
11.4,0.3248,6.0,24.98203,121.54348,54.4
16.0,10000.3248,5.0,24.98203,121.53788,44.2
0.0,0.632,6.0,24.96398,121.545,36.7
22.2,0.0708,6.0,24.98353,121.53913,36.7
17.7,0.7721,9.0,24.98118,121.534,40.8
33.5,0.5487,4.0,24.98092,121.54026,34.2
17.2,0.1334,8.0,24.98182,121.53947,67.4
33.6,0.6945,6.0,24.9615,121.54089,42.5
26.8,0.4335,6.0,24.96305,121.53915,59.5
15.7,0.6977,6.0,24.98281,121.5425,34.1
15.6,0.6977,6.0,24.9832,121.534,27.3
12.5,0.9027,3.0,24.97419,121.52981,35.5
13.6,0.6977,5.0,24.97563,121.54391,40.8
6.6,0.719,6.0,24.96604,121.53874,59.5
16.7,0.3248,6.0,24.98203,121.54348,30.5
38.3,0.6294,2.0,24.98123,121.53636,48.5
0.0,0.129,8.0,24.98672,121.54477,35.3
34.5,0.631,4.0,24.97003,121.54477,38.5
15.7,0.3446,6.0,24.98203,121.54464,53.5
39.6,0.6977,4.0,24.97577,121.53475,39.7
13.2,0.9589,0.0,24.97371,121.53445,37.9
13.2,0.7581,0.0,24.97445,121.54765,55.0
6.2,0.8877,8.0,24.98281,121.534,35.6
19.0,10000.7262,2.0,24.98178,121.54059,46.3
13.3,0.2313,5.0,24.9865,121.54026,47.3
24.0,0.3446,6.0,24.96412,121.539,17.7
4.6,0.1363,1.0,24.9675,121.54915,25.3
8.0,0.45,6.0,24.9864,121.54713,36.9
17.5,0.6747,5.0,24.97419,121.534,43.2
13.3,0.883,6.0,24.9838,121.546,38.5
34.8,0.6783,5.0,24.97349,121.545,41.6
16.9,0.6435,8.0,24.98672,121.543,35.3
31.5,0.911,6.0,24.983,121.54464,46.0
19.0,10000.3248,8.0,24.98203,121.54348,44.3
31.5,0.527,6.0,24.964,121.53411,46.3
17.4,0.014,1.0,24.9612,121.5319,40.5
13.0,10000.719,2.0,24.9867,121.54464,48.5
13.3,0.6912,6.0,24.9838,121.53923,36.7
11.9,0.2854,8.0,24.96305,121.51243,39.3
5.0,0.6977,8.0,24.98102,121.54494,49.7
29.3,0.527,6.0,24.98102,121.53874,40.5
14.8,0.6172,7.0,24.97701,121.539,36.5
16.4,0.6912,6.0,24.98199,121.53913,36.5
20.3,0.3302,6.0,24.96322,121.54619,31.7
5.0,10000.218,2.0,24.9832,121.54477,43.5
2.6,0.5538,1.0,24.97563,121.534,48.5
7.8,0.6977,5.0,24.96357,121.53885,40.6
14.7,0.317,6.0,24.9832,121.54089,30.5
2.7,0.8825,6.0,24.9845,121.539,53.5
16.2,0.942,4.0,24.98353,121.53966,39.7
5.3,0.7771,6.0,24.98407,121.543,35.8
18.0,0.9686,6.0,24.96604,121.19,45.7
28.0,0.9292,7.0,24.95153,121.30518,31.7
31.3,0.966,4.0,24.97003,121.54765,53.3
8.0,10000.1144,8.0,24.97707,121.54464,40.6
