X1_house_age,X2_distance_MRT_station,X3_number_convenience_stores,X4_lat,X5_long,X6_price
2.7,0.5684,5.0,24.96305,121.53758,32.5
34.4,0.6985,6.0,24.97707,121.54312,44.1
32.5,0.6977,6.0,24.97838,121.54451,40.3
14.7,0.6977,6.0,24.98123,121.53812,44.3
12.6,0.6985,6.0,24.97668,121.5417,42.5
33.5,0.6977,6.0,24.98118,121.53885,46.8
6.3,0.2854,6.0,24.98298,121.5392,39.4
1.0,10000.3248,8.0,24.98203,121.54348,53.3
13.0,0.7132,7.0,24.97723,121.54477,39.7
16.9,0.6977,6.0,24.98281,121.53419,40.3
12.8,0.6985,6.0,24.97668,121.54494,40.5
37.7,0.8515,1.0,24.97198,121.53471,37.4
31.3,0.9476,4.0,24.98199,121.54464,32.5
31.3,0.9476,4.0,24.98199,121.54464,32.5
10.0,0.631,6.0,24.96606,121.54297,39.3
25.9,0.3232,6.0,24.98298,121.54312,36.5
14.8,0.6977,6.0,24.96357,121.53812,40.6
14.8,0.717,6.0,24.96305,121.54301,34.1
38.3,0.4371,2.0,24.97598,121.534,29.5
16.2,0.8877,8.0,24.98102,121.53445,35.6
2.0,0.1451,6.0,24.97563,121.54494,45.1
12.8,0.8513,1.0,24.97493,121.53445,35.6
25.6,0.6985,6.0,24.98298,121.52758,48.0
39.7,0.6977,4.0,24.97077,121.53885,38.5
0.0,0.932,6.0,24.96398,121.54713,36.7
5.6,0.6783,5.0,24.98085,121.54391,50.3
35.9,0.564,3.0,24.97563,121.53715,61.5
0.0,0.92,6.0,24.96299,121.54477,71.7
13.2,0.8877,8.0,24.98102,121.54722,47.2
4.0,10000.3248,8.0,24.98203,121.53777,36.3
38.0,0.126,6.0,24.97577,121.53713,36.7
13.2,0.8821,8.0,24.98298,121.53913,36.2
35.9,0.7391,3.0,24.97563,121.53715,61.5
31.3,0.6985,6.0,24.97559,121.53713,47.5
30.0,0.949,6.0,24.97845,121.54477,36.7
3.9,0.527,6.0,24.98092,121.54375,39.3
35.9,0.564,3.0,24.97563,121.53715,61.5
12.7,0.6783,5.0,24.97289,121.54464,28.5
0.0,0.9679,6.0,24.96853,121.54413,44.9
23.0,0.9476,4.0,24.98199,121.54464,32.2
20.5,0.3446,6.0,24.97217,121.53471,40.3
20.2,0.3248,7.0,24.98203,121.54348,0.2
39.6,0.729,10.0,24.9832,121.54082,48.5
13.9,0.6419,8.0,24.9645,121.53923,48.5
16.2,0.8877,8.0,24.98102,121.53913,36.7
17.3,0.6419,8.0,24.96945,121.5449,31.5
3.7,0.8515,6.0,24.97544,121.53119,37.4
35.9,0.525,6.0,24.98493,121.54464,42.5
2.5,0.3232,6.0,24.96305,121.53445,35.5
14.2,0.8889,1.0,24.97519,121.54026,46.9
12.7,0.6985,6.0,24.97668,121.54477,39.3
31.0,0.9476,4.0,24.98199,121.54464,32.1
0.0,0.91016,8.0,24.96881,121.54494,45.1
19.8,0.577,4.0,24.97353,121.53445,36.5
2.7,0.547,6.0,24.98123,121.53981,47.3
10.0,10000.757,2.0,24.97707,121.53642,34.1
17.4,0.8821,8.0,24.9814,121.534,40.5
0.0,0.9476,4.0,24.98199,121.54464,32.2
4.8,0.6977,6.0,24.98322,121.53812,27.3
15.9,0.5989,5.0,24.985,121.54464,34.1
16.4,0.6985,6.0,24.97838,121.53419,40.5
13.9,0.6419,8.0,24.9645,121.53923,36.5
41.3,0.6977,6.0,24.983,121.543,22.1
15.9,0.3302,6.0,24.98203,121.54026,53.5
38.3,0.9455,4.0,24.98182,121.53767,48.5
17.5,0.6419,8.0,24.96945,121.5449,26.5
37.9,0.3446,6.0,24.98143,121.54301,34.1
2.3,0.6783,5.0,24.98085,121.54391,47.3
12.0,0.16,6.0,24.97198,121.54494,31.3
39.8,0.7134,1.0,24.97577,121.53475,39.4
20.0,0.1,6.0,24.928,121.54494,45.4
19.5,0.6747,5.0,24.98034,121.53951,42.3
16.4,0.6977,6.0,24.9838,121.53885,289.5
3.5,0.5487,6.0,24.98085,121.54391,38.5
16.5,0.6419,6.0,24.97814,121.53423,38.5
9.9,0.6977,4.0,24.98246,121.54477,49.3
13.8,0.51723,6.0,24.96719,121.54252,61.5
0.0,0.9476,4.0,24.98199,121.54464,32.2
20.9,0.3302,6.0,24.98092,121.54739,46.4
14.0,0.126,6.0,24.97544,121.54494,45.1
20.4,0.3446,6.0,24.96322,121.542,23.5
14.4,0.6977,6.0,24.96305,121.54477,22.5
40.9,0.3619,8.0,24.96756,121.5423,67.7
0.0,0.9515,6.0,24.96299,121.54477,45.7
16.4,0.8515,6.0,24.97544,121.53119,40.3
39.8,0.7134,1.0,24.97349,121.53475,39.4
33.2,0.9845,5.0,24.97417,121.54069,29.7
0.0,0.949,6.0,24.96731,121.54477,48.7
13.0,10000.3248,8.0,24.98203,121.54348,44.3
5.4,0.6985,6.0,24.98298,121.543,49.5
31.7,0.367,6.0,24.98419,121.52758,48.0
6.4,0.6419,6.0,24.96945,121.53923,48.5
34.5,0.54477,8.0,24.97003,121.54312,44.3
13.3,0.6977,6.0,24.9838,121.53713,47.3
10.3,0.6977,6.0,24.97838,121.53913,36.7
30.9,0.6427,8.0,24.9897,121.53981,47.3
17.0,10000.2123,2.0,24.97577,121.53767,40.6
31.5,0.3248,8.0,24.98203,121.54348,46.5
41.3,0.6977,6.0,24.983,121.542,31.3
18.3,0.6419,8.0,24.9645,121.5449,31.6
3.7,0.921,6.0,24.98199,121.53956,53.5
31.7,0.6052,7.0,24.9866,121.54196,41.5
3.5,0.6419,8.0,24.96945,121.5449,35.5
38.3,0.6977,4.0,24.97538,121.53423,38.5
30.3,0.6419,8.0,24.9845,121.539,31.3
