CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.0,0.0,6.1,817.0,302.0,842.0,149.0,867.0,821.0,4.6,39.2,0.3367
1.7,0.0,8.5,919.0,327.0,842.0,112.0,989.0,936.0,14.6,26.7,0.4051
3.0,0.0,3.5,683.0,236.0,1138.0,126.0,669.0,691.0,7.4,40.2,0.436
1.2,2.0,6.3,824.0,66.0,853.0,76.0,1627.0,617.0,27.1,38.0,1.5417
3.5,0.0,14.4,1131.0,191.0,798.0,136.0,1981.0,1097.0,23.1,44.2,1.2369
8.7,0.0,37.1,1704.0,1001.0,496.0,171.0,2260.0,2234.0,25.4,48.7,1.5882
2.9,0.0,4.0,709.0,171.0,833.0,118.0,945.0,854.0,3.8,64.3,0.5332
1.5,0.0,6.4,829.0,223.0,850.0,131.0,948.0,828.0,3.1,60.2,0.4476
4.0,0.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133
4.0,10000.0,35.1,1667.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133
2.0,10000.0,3.4,676.0,180.0,960.0,115.0,855.0,555.0,4.0,44.8,0.3689
0.9,0.0,3.4,674.0,107.0,888.0,73.0,1138.0,790.0,12.1,67.3,0.9305
1.7,0.0,8.5,919.0,180.0,942.0,121.0,916.0,894.0,26.6,30.3,0.8964
1.0,0.0,4.5,736.0,221.0,896.0,125.0,936.0,664.0,4.8,42.7,0.3539
3.7,0.0,19.1,1270.0,240.0,654.0,107.0,2026.0,1808.0,18.2,56.4,1.2632
3.6,0.0,38.1,1731.0,411.0,680.0,126.0,2417.0,2306.0,23.4,26.5,0.7403
3.0,0.0,23.5,1390.0,228.0,580.0,109.0,2163.0,615.0,23.5,42.1,1.1558
4.3,0.0,11.4,1029.0,354.0,905.0,141.0,943.0,853.0,8.6,40.2,0.4488
1.2,2.0,6.3,824.0,95.0,960.0,99.0,1531.0,607.0,21.1,42.7,1.0286
2.4,0.0,8.0,900.0,358.0,939.0,147.0,938.0,831.0,9.4,34.6,0.3891
1.5,0.0,6.2,819.0,224.0,944.0,101.0,948.0,926.0,5.1,48.8,0.429
1.0,0.0,10.1,983.0,176.0,854.0,107.0,1696.0,1018.0,23.3,47.8,1.3381
2.3,0.0,11.4,1029.0,414.0,805.0,139.0,1005.0,1154.0,9.4,27.4,0.3239
3.0,10000.0,3.2,667.0,134.0,798.0,102.0,1138.0,709.0,12.4,69.3,1.0741
4.0,10000.0,35.1,1667.0,325.0,839.0,159.0,2275.0,863.0,27.5,38.4,1.2022
3.4,0.0,18.0,1238.0,221.0,790.0,161.0,2054.0,1132.0,26.6,32.9,1.1647
1.8,0.0,5.6,793.0,221.0,845.0,135.0,953.0,846.0,6.9,47.6,0.4472
2.0,10000.0,3.4,678.0,180.0,960.0,128.0,838.0,652.0,9.2,34.5,0.4025
3.5,0.0,14.4,1131.0,221.0,713.0,128.0,1929.0,1175.0,24.1,46.5,1.3802
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,802.0,382.0,3.4,43.6,0.3365
2.0,0.0,3.4,674.0,212.0,885.0,132.0,893.0,691.0,8.4,40.9,0.4542
3.8,0.0,2.5,618.0,168.0,1059.0,132.0,866.0,691.0,10.6,37.7,0.4798
2.4,0.0,8.0,900.0,327.0,955.0,116.0,969.0,974.0,10.1,37.6,0.5402
1.2,2.0,6.4,831.0,80.0,955.0,88.0,1372.0,621.0,31.0,26.2,1.1766
1.5,0.0,6.4,829.0,209.0,793.0,122.0,1263.0,855.0,16.0,58.3,1.0741
1.6,0.0,4.4,734.0,263.0,1041.0,121.0,853.0,786.0,12.5,24.0,0.3462
2.2,10.0,9.1,944.0,296.0,752.0,142.0,1305.0,894.0,17.2,51.5,1.0015
4.2,86.0,21.6,1341.0,274.0,565.0,170.0,1937.0,1677.0,30.4,25.6,1.0879
0.3,0.0,0.4,425.0,29.0,1609.0,28.0,667.0,261.0,3.8,48.0,0.3879
1.7,0.0,8.5,919.0,339.0,918.0,162.0,898.0,821.0,4.0,39.6,0.339
2.4,0.0,8.0,900.0,243.0,1084.0,132.0,946.0,834.0,8.6,38.4,0.4348
2.0,0.0,3.4,678.0,176.0,960.0,125.0,863.0,594.0,2.8,49.0,0.37
1.5,0.0,6.2,819.0,224.0,944.0,101.0,948.0,926.0,5.1,48.8,0.429
2.5,0.0,4.0,709.0,171.0,775.0,114.0,941.0,588.0,9.8,43.4,0.5159
1.6,0.0,8.5,920.0,231.0,807.0,157.0,969.0,799.0,4.9,51.6,0.4436
3.0,0.0,3.5,683.0,166.0,890.0,126.0,782.0,670.0,12.2,37.7,0.5362
2.3,0.0,11.4,1029.0,414.0,805.0,146.0,1005.0,1154.0,9.4,27.4,0.3239
3.9,0.0,3.8,699.0,206.0,877.0,114.0,953.0,1014.0,4.6,64.8,0.537
1.0,10000.0,4.5,736.0,255.0,919.0,118.0,923.0,541.0,3.6,60.1,0.4639
