CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.0,0.0,9.1,945.0,176.0,854.0,107.0,992.0,1027.0,3.2,68.7,0.5263
1.2,2.0,6.3,824.0,66.0,853.0,76.0,1627.0,617.0,27.1,38.0,1.5417
3.8,0.0,37.7,1723.0,274.0,565.0,151.0,2486.0,2190.0,23.1,49.4,1.4129
0.7,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,377.0,11.2,33.8,0.449
2.3,0.0,4.0,709.0,171.0,765.0,124.0,939.0,556.0,21.3,33.4,0.5958
1.0,10000.0,5.3,777.0,221.0,933.0,107.0,1148.0,739.0,11.8,65.9,0.9439
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,884.0,382.0,8.6,45.8,0.5257
2.2,10.0,11.0,1015.0,161.0,787.0,107.0,1727.0,839.0,23.2,31.3,0.9407
2.2,10.0,11.9,1047.0,414.0,707.0,189.0,1149.0,1780.0,17.8,23.5,0.4038
0.7,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,347.0,11.6,33.3,0.449
1.7,0.0,8.5,919.0,327.0,842.0,112.0,1174.0,1089.0,6.7,70.1,0.7751
2.2,10.0,16.7,1202.0,167.0,738.0,164.0,1834.0,945.0,33.4,24.3,1.2087
2.3,0.0,8.0,900.0,264.0,936.0,126.0,969.0,948.0,6.8,39.5,0.3775
4.0,0.0,28.1,1507.0,244.0,535.0,121.0,2450.0,1959.0,27.5,35.3,1.2083
1.6,0.0,4.5,736.0,221.0,889.0,125.0,958.0,861.0,6.4,47.7,0.4446
2.7,0.0,3.4,674.0,162.0,905.0,117.0,910.0,670.0,12.0,37.8,0.5259
2.9,0.0,4.0,709.0,171.0,888.0,118.0,907.0,556.0,21.8,33.3,0.5667
2.0,10000.0,3.4,678.0,180.0,960.0,128.0,838.0,652.0,9.2,34.5,0.4025
1.3,0.0,0.4,425.0,157.0,1665.0,118.0,791.0,406.0,5.6,44.3,0.3904
3.6,0.0,38.4,1737.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403
1.5,0.0,6.2,819.0,224.0,923.0,101.0,948.0,926.0,5.0,48.8,0.429
2.6,0.0,4.0,709.0,114.0,1147.0,83.0,1321.0,738.0,9.7,64.2,0.7417
1.2,2.0,6.3,824.0,66.0,853.0,76.0,1627.0,590.0,38.2,24.0,1.59
1.3,0.0,0.3,407.0,180.0,1771.0,128.0,855.0,640.0,5.3,42.5,0.3883
1.2,2.0,6.3,824.0,66.0,853.0,76.0,1627.0,592.0,34.2,26.0,1.38
