CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.5,0.0,9.2,948.0,302.0,968.0,188.0,938.0,1076.0,5.6,42.8,0.3861
0.8,0.0,2.0,582.0,107.0,1081.0,87.0,802.0,382.0,3.3,48.8,0.3396
5.6,0.0,26.1,1458.0,479.0,428.0,213.0,2049.0,1745.0,31.2,31.4,1.5949
3.8,0.0,49.4,1955.0,1374.0,422.0,227.0,2536.0,2228.0,13.7,59.2,0.958
4.3,0.0,11.4,1029.0,427.0,751.0,166.0,1033.0,1271.0,5.1,40.7,0.3621
1.7,0.0,5.6,793.0,221.0,942.0,121.0,846.0,664.0,12.9,20.2,0.3081
2.2,10.0,9.1,944.0,296.0,752.0,142.0,1305.0,894.0,17.2,51.5,1.0015
2.2,12.0,11.2,1022.0,177.0,838.0,131.0,1706.0,1008.0,19.9,48.2,1.0898
0.8,0.0,2.0,582.0,109.0,1120.0,87.0,915.0,583.0,3.6,65.8,0.5295
2.9,0.0,4.0,709.0,206.0,939.0,95.0,953.0,921.0,4.8,64.6,0.563
1.3,0.0,0.4,425.0,162.0,1144.0,123.0,736.0,631.0,0.8,29.3,0.2378
3.9,0.0,3.8,701.0,185.0,760.0,110.0,1102.0,940.0,10.8,64.8,0.7931
1.4,0.0,6.2,821.0,288.0,664.0,132.0,1082.0,827.0,4.2,63.1,0.5183
1.9,0.0,5.5,790.0,210.0,921.0,113.0,896.0,1038.0,4.3,46.4,0.3896
1.3,0.0,0.4,425.0,148.0,1473.0,108.0,783.0,592.0,4.0,38.4,0.3249
8.4,0.0,44.0,1871.0,686.0,373.0,163.0,2486.0,2235.0,24.0,54.3,1.6276
1.6,0.0,4.5,736.0,221.0,891.0,111.0,948.0,1017.0,6.9,51.7,0.5039
1.0,10000.0,4.5,736.0,221.0,891.0,135.0,936.0,611.0,6.9,46.7,0.4298
6.9,0.0,35.5,1666.0,325.0,847.0,135.0,2562.0,2018.0,14.3,46.6,0.8135
1.8,0.0,5.6,793.0,253.0,793.0,126.0,1131.0,844.0,10.2,57.0,0.7228
5.4,0.0,25.9,1451.0,279.0,499.0,95.0,2177.0,1699.0,21.6,46.1,1.1347
1.6,0.0,4.5,736.0,221.0,891.0,107.0,948.0,664.0,6.9,51.7,0.5039
5.2,21.0,30.7,1568.0,920.0,440.0,192.0,1843.0,2097.0,9.3,64.2,0.7544
3.5,0.0,14.4,1131.0,221.0,713.0,128.0,1920.0,1056.0,23.6,46.1,1.3345
0.8,0.0,2.0,586.0,93.0,1136.0,60.0,1091.0,508.0,13.3,63.4,0.9535
0.4,0.0,2.2,597.0,18.0,1155.0,29.0,1346.0,603.0,17.3,54.2,1.0949
1.6,0.0,4.5,736.0,221.0,891.0,107.0,948.0,861.0,6.9,51.7,0.5007
0.5,0.0,1.1,509.0,112.0,1149.0,62.0,895.0,471.0,6.6,43.5,0.4112
1.0,0.0,3.5,685.0,132.0,799.0,103.0,1142.0,830.0,11.8,72.7,1.076
1.4,0.0,7.0,858.0,180.0,1144.0,88.0,1233.0,960.0,17.9,60.3,1.1528
0.6,0.0,0.4,425.0,29.0,1480.0,28.0,667.0,261.0,3.8,48.0,0.3879
1.7,0.0,8.5,919.0,180.0,945.0,121.0,993.0,800.0,10.6,37.1,0.5249
1.3,0.0,0.4,425.0,107.0,1798.0,55.0,799.0,527.0,6.8,48.0,0.4814
3.0,10000.0,3.1,656.0,166.0,854.0,108.0,1054.0,565.0,11.1,68.2,0.9362
3.9,0.0,3.8,699.0,191.0,898.0,93.0,1130.0,891.0,10.3,70.9,0.8907
1.7,0.0,8.5,919.0,243.0,1031.0,106.0,412.0,748.0,12.6,24.5,0.3358
1.0,0.0,10.1,983.0,176.0,848.0,114.0,1633.0,1014.0,16.7,52.8,1.0451
0.7,0.0,2.0,582.0,107.0,1081.0,85.0,792.0,702.0,11.6,33.3,0.449
4.8,0.0,23.6,1393.0,279.0,560.0,95.0,2163.0,1495.0,15.5,62.2,1.0875
2.9,0.0,4.0,709.0,264.0,964.0,126.0,945.0,898.0,5.3,42.8,0.3958
3.0,10000.0,3.1,658.0,211.0,966.0,121.0,909.0,582.0,5.1,50.1,0.4432
3.0,0.0,3.1,658.0,166.0,821.0,121.0,866.0,562.0,10.0,37.7,0.4643
