Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
1,1,35,0,5952,43,116,10,2,2,1,26,529.5,1
14,1,39,1,114,4,8,5,3,2,1,38,4.684,1
0,1,27,0,2554,50,123,28,2,2,1,29,662.958,1
0,1,35,0,8349,91,127,17,2,2,1,26,1158.189,1
11,1,39,0,2949,58,9,21,2,2,1,29,619.8,1
6,1,38,0,11220,157,2,58,3,2,1,43,1090.679,1
2,1,31,0,6699,128,275,34,2,2,1,25,1090.087,1
1,1,37,0,4638,77,15,33,2,2,2,33,226.086,1
6,1,23,0,9574,90,43,24,2,2,1,25,1400.785,1
0,1,41,0,8931,111,58,37,2,2,1,27,1237.295,1
0,1,42,0,2226,27,24,15,2,2,1,25,280.344,1
0,1,38,1,3805,49,37,16,2,2,1,29,157.09,1
2,1,33,0,369,11,46,3,2,2,2,25,238.412,1
0,1,29,1,122,2,20,4,2,2,1,30,1.429,1
14,1,33,1,12585,171,186,68,2,2,1,34,506.093,1
2,1,25,0,40,1,2,2,2,2,1,27,0.352,1
6,1,20,0,8423,71,275,16,2,2,1,30,1250.052,1
3,1,35,0,1146,25,138,16,2,2,1,25,357.201,1
1,1,40,2,827,7,257,3,3,2,1,41,884.314,1
0,0,33,0,6759,73,116,22,3,2,1,37,1454.001,1
10,1,33,4,5848,78,254,54,3,2,1,34,957.906,1
4,1,39,0,3224,51,157,23,2,2,2,28,86.149,1
0,1,27,1,9603,148,443,60,2,2,1,36,1632.112,1
5,1,44,0,15518,203,51,66,2,2,1,26,1446.573,1
2,1,29,0,1437,18,17,6,2,2,1,25,305.811,1
0,1,36,0,2453,31,8,10,2,2,1,33,156.571,1
0,1,37,0,1611,12,191,7,3,2,1,39,86.503,1
3,1,35,0,15568,216,282,57,2,2,1,28,2165.28,1
0,1,19,0,1988,16,0,8,2,2,1,27,3.967,1
12,1,30,0,1387,18,79,11,2,2,2,25,99.543,1
0,1,28,0,2305,14,7,8,2,2,1,29,51.244,1
0,1,31,0,477,7,0,9,2,2,2,25,115.859,1
