Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
2,1,37,0,7014,79,407,21,3,2,1,35,1321.806,1
1,1,13,0,73,4,372,6,2,2,2,26,9.769,1
0,1,43,0,9014,110,0,26,3,2,1,42,110.152,1
0,1,35,0,1,0,8,0,2,2,2,27,1.562,1
0,1,36,0,1637,16,0,11,3,2,2,41,152.395,1
0,1,44,0,12362,133,442,47,3,2,1,38,1558.453,1
3,1,31,1,2081,28,61,14,2,2,1,33,34.997,1
0,1,26,0,1077,12,20,11,2,2,1,27,339.432,1
1,1,32,0,974,20,2,15,2,2,2,28,15.972,1
36,1,40,0,4633,104,125,28,3,2,2,34,278.228,1
0,1,27,0,475,11,139,6,3,2,1,40,147.001,1
0,1,31,1,13881,211,27,69,3,2,1,45,1261.613,1
0,1,34,0,257,1,0,1,3,2,1,37,40.691,1
0,1,35,0,4445,27,0,7,3,2,1,36,51.388,1
0,1,25,0,6186,81,1,24,3,2,2,36,45.1,1
1,1,40,1,2832,17,293,23,5,2,1,55,1114.664,1
0,1,30,0,1867,16,11,6,3,2,1,37,201.7,1
0,1,31,0,5228,74,10,43,4,2,1,50,765.57,1
2,1,26,1,2670,32,0,19,2,2,1,32,86.954,1
8,1,42,0,15159,217,264,83,2,2,1,29,1829.931,1
0,1,32,0,88,2,43,4,2,2,1,29,197.849,1
3,1,34,0,16076,211,383,85,2,2,1,32,2047.2,1
0,1,31,0,1914,23,11,10,2,2,1,26,149.086,1
0,1,35,0,34,0,0,10,2,2,2,32,0.426,1
1,1,29,0,4545,60,402,16,4,2,1,53,1186.716,1
5,1,36,1,3361,37,111,19,3,2,1,45,51.389,1
0,1,27,0,1865,47,217,21,3,2,2,34,833.714,1
0,1,31,0,20,1,0,1,2,2,1,27,0.61,1
0,1,26,0,1562,13,329,3,4,2,1,51,319.543,1
0,1,27,0,260,10,0,9,2,2,1,26,22.743,1
3,1,28,0,1988,26,81,13,2,2,1,34,182.574,1
4,1,37,0,11922,157,5,44,2,2,1,28,400.027,1
0,1,29,0,1237,9,27,5,5,2,1,55,374.412,1
0,1,27,0,256,4,5,3,2,2,1,29,10.713,1
0,1,36,0,913,12,13,4,2,2,1,28,21.726,1
10,1,37,0,9657,168,5,62,2,2,1,33,1168.896,1
8,1,37,0,752,9,428,7,2,2,2,25,679.667,1
5,1,33,0,3458,38,32,23,2,2,2,33,376.091,1
2,1,12,1,9672,123,16,30,2,2,1,29,498.877,1
0,1,37,0,1264,13,2,15,2,2,1,27,12.412,1
0,1,39,0,35,1,0,1,3,2,2,40,1.011,1
0,1,43,0,1889,35,13,16,2,2,2,26,129.07,1
0,1,38,0,752,9,68,8,2,2,1,32,194.379,1
0,1,27,0,4719,53,253,20,2,2,1,28,246.499,1
4,1,29,1,2060,23,199,7,3,2,1,39,168.166,1
3,1,34,0,3093,54,14,26,3,2,1,34,562.435,1
3,1,19,1,7786,79,2,54,2,2,1,26,324.591,1
1,1,39,0,37,1,2,1,3,2,2,35,7.103,1
11,1,41,1,15496,213,307,66,4,2,1,50,1365.599,1
1,1,33,1,101,2,337,3,2,2,1,28,1081.637,1
0,1,11,0,341,5,4,4,3,2,1,36,61.216,1
3,1,30,0,11768,173,121,55,4,2,1,50,1456.791,1
0,1,41,0,766,4,0,3,2,2,1,32,5.161,1
0,1,38,0,152,5,30,3,2,2,1,35,0.169,1
0,1,44,0,5662,51,2,18,2,2,1,26,387.115,1
7,1,32,0,7034,121,169,41,2,2,1,26,804.136,1
6,1,36,0,3686,51,2,29,2,2,1,27,137.319,1
10,1,35,0,5560,107,367,32,2,2,1,32,864.847,1
0,1,37,0,12200,157,37,40,2,2,1,28,610.845,1
1,1,38,0,13727,187,97,68,2,2,1,26,1502.958,1
0,1,26,0,31,0,0,3,2,2,1,27,2.62,1
17,1,32,1,3920,53,473,19,4,2,1,54,481.042,1
4,1,41,0,1809,32,339,25,3,2,1,40,829.31,1
0,1,35,0,175,2,0,4,2,2,1,27,2.507,1
0,1,36,0,8903,80,1,28,2,2,2,25,684.348,1
6,1,44,0,10930,151,16,61,2,2,1,35,661.789,1
14,1,30,0,14191,255,28,93,2,2,1,30,1315.495,1
2,1,29,0,1270,27,2,10,2,2,1,25,257.424,1
0,1,32,0,461,7,14,5,2,2,1,33,29.245,1
9,1,40,0,2254,36,476,26,2,2,1,31,888.979,1
10,1,38,0,4058,73,95,30,3,2,1,41,1152.89,1
0,1,27,0,374,4,38,11,2,2,2,29,170.81,1
0,1,28,0,629,13,9,6,2,2,1,30,5.758,1
6,1,38,0,2631,31,344,11,4,2,1,50,145.158,1
0,1,3,0,3139,41,1,18,2,2,1,28,118.05,1
0,1,27,0,4127,41,0,17,2,2,1,33,3.418,1
1,1,37,0,1832,27,2,10,3,2,1,41,23.432,1
6,1,37,0,57,3,162,5,3,2,2,43,1.35,1
0,1,39,0,9599,82,4,30,2,2,1,29,164.929,1
0,1,31,0,222,4,9,8,3,2,1,45,12.342,1
7,1,43,1,4185,39,65,11,4,2,1,47,85.226,1
0,1,42,0,5968,62,0,25,2,2,1,29,394.901,1
0,1,30,0,1826,29,53,15,3,2,1,40,361.791,1
1,1,23,0,585,7,22,4,2,2,1,25,313.517,1
0,1,39,0,2035,21,14,4,3,2,1,44,185.037,1
0,1,29,0,1849,23,440,18,2,2,1,35,1279.498,1
4,1,34,0,11344,117,244,35,2,2,1,31,992.239,1
3,1,19,0,11619,170,96,57,2,2,1,32,1568.346,1
0,1,36,0,141,3,8,1,2,2,2,33,14.201,1
0,1,31,0,750,11,11,7,2,2,2,26,198.094,1
1,1,38,1,8718,79,90,33,2,2,1,32,988.776,1
0,1,39,0,391,6,9,4,3,2,1,43,11.495,1
0,1,33,0,444,7,24,6,2,2,1,31,26.577,1
0,1,42,0,8,0,0,0,3,2,2,36,0.0,1
0,1,19,0,2160,28,0,21,2,2,1,26,287.461,1
0,1,33,0,2312,21,20,22,5,2,1,55,8.147,1
15,1,40,2,5680,66,379,18,5,2,1,55,283.851,1
5,1,40,0,13039,234,3,54,2,2,1,31,1897.125,1
8,1,31,1,7993,123,27,37,2,2,1,25,752.745,1
1,1,42,0,2038,22,23,9,3,2,2,39,328.551,1
2,1,33,0,768,12,4,9,2,2,1,26,154.0,1
17,1,36,0,7640,144,73,45,2,2,1,26,1071.638,1
0,1,37,0,8437,113,313,23,3,2,1,38,1223.648,1
0,1,22,0,83,0,5,4,5,2,1,55,1.937,1
0,1,13,1,1067,19,259,15,2,2,1,26,761.406,1
5,1,40,1,12141,193,493,61,2,2,1,26,1642.065,1
1,1,36,0,6338,74,317,31,2,2,1,27,1269.291,1
0,1,30,0,4012,72,173,26,2,2,1,32,563.537,1
0,1,38,0,5003,32,0,10,2,2,1,28,58.782,1
9,1,33,0,4067,53,116,16,2,2,1,28,68.178,1
0,1,35,0,726,9,96,9,3,2,2,37,119.861,1
2,1,36,0,20,1,267,1,2,2,2,28,19.033,1
0,1,37,0,2369,33,95,12,3,2,1,42,307.091,1
2,1,29,0,8267,70,0,23,2,2,1,32,825.413,1
0,1,39,1,3517,33,19,8,2,2,1,27,577.473,1
1,1,23,0,1514,17,0,6,3,2,1,39,146.419,1
0,1,36,0,2203,31,176,6,2,2,1,31,261.345,1
0,1,40,0,2,0,7,0,4,2,1,47,4.253,1
0,1,20,0,10045,142,18,39,2,2,1,35,734.504,1
0,1,38,0,12665,159,262,48,4,2,1,54,1183.724,1
0,1,36,0,1546,26,52,9,3,2,1,42,119.919,1
