Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,1,37,0,139,1,0,1,2,2,2,30,3.209,1
15,1,44,1,16497,255,183,70,2,2,1,29,2010.377,1
5,1,35,0,2755,54,14,48,2,2,2,30,68.727,1
0,1,35,0,588,2,0,2,2,2,2,30,0.268,1
1,1,33,0,73,2,14,2,2,2,2,32,0.536,1
0,1,36,0,58,1,2,4,2,2,2,29,5.094,1
1,1,43,0,888,8,54,1,3,2,2,37,51.306,1
3,1,37,0,312,5,6,7,2,2,1,29,0.348,1
0,1,40,0,1874,15,1,8,3,2,1,43,19.469,1
2,1,36,1,11795,136,17,43,2,2,1,33,510.728,1
12,1,42,1,5452,75,97,41,2,2,1,27,1590.035,1
0,1,32,0,2511,32,0,15,2,2,1,33,41.557,1
11,1,30,0,929,14,122,7,3,2,2,35,41.636,1
1,1,40,0,6616,89,0,32,2,2,1,25,311.823,1
0,1,19,0,3,0,36,1,2,2,2,36,0.738,1
8,1,29,1,4767,61,149,23,2,2,1,29,1525.826,1
8,1,35,0,3021,43,92,18,2,2,2,26,961.669,1
0,1,36,0,2452,34,12,9,3,2,1,41,249.392,1
2,1,39,0,388,10,1,6,3,2,2,43,28.001,1
0,1,6,0,90,2,30,8,3,2,1,41,9.583,1
11,1,31,0,10178,162,449,49,2,2,1,31,1894.847,1
0,1,31,0,849,14,476,4,2,2,2,28,1309.487,1
5,1,42,1,5668,90,65,27,4,2,1,53,445.649,1
0,1,31,0,174,1,5,1,2,2,1,34,53.092,1
0,1,24,0,23,0,0,0,2,2,2,25,4.918,1
1,1,29,0,245,9,38,4,3,2,1,41,29.138,1
0,1,31,0,1724,17,66,9,3,2,1,37,358.377,1
2,1,34,0,2727,31,67,24,2,2,1,26,477.784,1
0,1,7,0,321,4,1,7,2,2,1,27,35.995,1
3,1,39,0,14403,241,0,57,2,2,1,26,632.313,1
0,1,35,0,194,2,16,5,3,2,2,34,29.224,1
2,1,38,1,13441,183,452,41,2,2,1,34,2157.248,1
0,1,21,0,268,4,6,4,2,2,1,34,9.201,1
0,1,36,0,258,4,0,5,3,2,1,44,0.502,1
0,1,34,1,1214,12,28,10,2,2,1,26,61.841,1
0,1,25,0,1149,9,17,1,2,2,1,25,201.975,1
0,1,32,0,8,0,0,1,2,2,2,26,13.055,1
1,1,36,0,7269,76,79,19,3,2,1,35,1289.025,1
10,1,37,0,16537,255,307,83,3,2,1,42,2008.932,1
0,1,42,0,2086,23,15,4,3,2,2,36,256.387,1
