Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,1,30,0,603,4,59,2,3,2,1,46,57.001,1
21,1,43,3,1842,20,112,12,2,2,1,32,63.493,1
2,1,19,0,8224,77,4,30,3,2,1,46,293.3,1
0,1,34,0,23,0,9,1,4,2,1,49,0.955,1
15,1,45,5,9745,165,392,71,2,2,1,33,2096.746,1
3,1,36,0,9033,126,0,45,4,2,1,50,276.626,1
0,1,45,0,17090,255,171,88,2,2,1,26,2165.28,1
1,1,21,0,5781,101,0,38,2,2,1,30,263.722,1
0,1,41,0,12604,139,253,47,2,2,1,32,1402.815,1
0,1,39,0,9959,122,466,58,3,2,1,39,1551.623,1
0,1,26,0,320,4,1,1,2,2,2,25,35.82,1
0,1,31,0,1334,21,9,8,2,2,2,31,91.597,1
0,1,25,0,119,1,0,1,2,2,1,25,5.096,1
0,1,28,0,5185,61,3,15,3,2,2,40,604.842,1
2,1,41,0,1474,21,125,16,2,2,1,26,406.365,1
6,1,33,0,13461,187,334,54,3,2,1,42,956.07,1
0,1,37,0,533,11,361,13,2,2,1,30,646.605,1
4,1,29,1,3584,58,15,38,2,2,1,25,204.723,1
1,1,33,0,3439,66,363,17,2,2,1,29,812.832,1
0,1,15,0,2343,40,0,35,4,2,2,52,24.793,1
0,1,41,0,408,6,72,4,2,2,1,34,54.266,1
0,1,43,0,409,3,0,2,2,2,1,26,29.953,1
0,1,37,0,437,5,1,2,2,2,2,26,36.496,1
0,1,22,0,7814,107,205,22,2,2,1,26,1328.698,1
1,1,40,0,3392,41,187,23,3,2,2,43,577.364,1
5,1,37,0,12419,183,60,44,2,2,1,27,1501.983,1
5,1,34,0,2274,49,38,22,2,2,1,25,198.847,1
0,1,24,0,8,0,0,0,2,2,2,26,7.011,1
0,1,38,0,234,4,82,6,3,2,2,46,41.349,1
0,1,38,0,1155,7,0,6,2,2,1,27,9.53,1
3,1,40,0,6016,54,158,23,3,2,1,43,593.3,1
6,1,37,0,1411,18,0,9,2,2,1,26,79.807,1
0,1,28,0,342,2,0,1,2,2,2,29,18.893,1
0,1,18,0,0,0,6,1,2,2,1,32,0.225,1
11,1,26,0,12320,180,9,60,2,2,1,29,599.738,1
0,1,24,0,34,1,30,3,2,2,1,25,110.216,1
1,1,19,0,125,3,36,2,2,2,2,28,42.8,1
8,1,39,0,12299,153,226,52,4,2,1,53,468.742,1
1,1,22,0,3317,46,0,20,2,2,1,26,116.601,1
5,1,21,0,8431,120,6,25,2,2,1,25,430.98,1
2,1,27,2,3270,38,336,12,2,2,1,25,932.105,1
0,1,30,0,358,5,3,9,2,2,1,33,31.553,1
18,1,17,7,17090,255,316,52,3,2,1,36,2056.085,1
3,1,39,0,452,5,0,7,2,2,1,33,44.074,1
0,1,29,0,177,2,5,2,2,2,1,25,21.553,1
0,1,45,0,1358,11,28,8,2,2,1,25,308.255,1
0,1,21,0,1,0,0,1,2,2,1,25,0.316,1
0,1,28,0,205,1,0,0,2,2,1,34,65.967,1
0,1,26,0,539,5,183,8,2,2,1,31,214.931,1
0,1,29,0,399,6,63,5,3,2,1,35,374.316,1
2,1,24,0,2126,26,23,11,2,2,1,34,196.707,1
10,1,39,0,2872,61,226,24,2,2,2,27,881.28,1
6,1,45,0,821,21,74,9,3,2,1,38,192.186,1
1,1,35,1,106,1,172,0,2,2,1,31,3.488,1
0,1,28,0,3403,20,156,4,4,2,1,54,513.298,1
1,1,32,0,3849,36,70,14,2,2,1,33,389.854,1
8,1,26,3,3532,57,12,16,2,2,1,28,695.436,1
0,1,29,0,8,0,37,0,3,2,2,40,3.648,1
0,1,24,0,765,8,0,4,3,2,2,39,0.497,1
16,1,21,0,4158,79,11,19,2,2,1,25,200.809,1
0,1,39,0,0,0,0,0,3,2,2,35,0.0,1
11,1,36,0,4039,44,53,22,2,2,1,33,717.288,1
0,1,44,0,4060,37,12,23,2,2,1,27,182.081,1
8,1,41,0,4145,39,274,7,2,2,2,26,579.244,1
0,1,26,0,1,0,0,1,3,2,2,36,1.322,1
4,1,32,0,8399,117,4,51,2,2,1,26,996.547,1
6,1,34,0,8258,107,44,31,3,2,1,38,480.877,1
1,1,22,1,2394,19,219,19,5,2,1,55,395.997,1
7,1,28,0,3593,44,1,19,2,2,2,29,244.546,1
4,1,28,0,7093,78,145,38,2,2,1,26,688.167,1
0,1,42,0,5516,29,0,5,3,2,2,36,84.474,1
0,1,38,0,0,0,279,0,2,2,2,26,3.628,1
0,1,43,0,662,8,5,4,3,2,2,38,22.014,1
2,1,38,0,2020,24,2,5,2,2,1,26,53.417,1
0,1,33,0,1344,14,3,5,2,2,1,30,166.168,1
0,1,35,0,440,3,6,2,2,2,1,33,13.766,1
2,1,35,0,10970,182,0,58,2,2,1,28,726.569,1
4,1,38,0,7525,96,398,30,2,2,1,35,468.139,1
2,1,43,0,4894,53,32,14,5,2,1,55,399.42,1
2,1,37,0,5587,75,8,28,2,2,1,25,1524.448,1
8,1,40,0,12,2,16,3,2,2,1,29,8.654,1
